JS_ID,Com_ID,WE_Role,Proficiency,Domain
80012,6544,Supply Chain Analyst,Digital Marketing,Business
80012,6544,Supply Chain Analyst,Programming,Computer Science
80012,24846,Operations Analyst,Digital Marketing,Business
80012,73536,Business Consultant,Marketing,Business
80012,73536,Business Consultant,Creative Writing,Literature
80012,73536,Business Consultant,Project Management,Business
80012,73536,Business Consultant,Digital Marketing,Business
80012,99274,Software Developer,Web Development,Computer Science
80012,30168,Occupational Therapist Assistant,Creative Writing,Literature
80012,30168,Occupational Therapist Assistant,Problem Solving,Mathematics
80012,30168,Occupational Therapist Assistant,Project Management,Business
80012,30168,Occupational Therapist Assistant,Digital Marketing,Business
7533,70357,Supply Chain Coordinator,Problem Solving,Mathematics
7533,70357,Supply Chain Coordinator,Data Analysis,Statistics
7533,30980,Legal Assistant,Marketing,Business
7533,30980,Legal Assistant,Public Speaking,Communication
7533,30980,Legal Assistant,Project Management,Business
7533,42699,Technical Support Engineer,Web Development,Computer Science
7533,30442,Customer Experience Manager,Marketing,Business
7533,30442,Customer Experience Manager,Problem Solving,Mathematics
7533,30442,Customer Experience Manager,Public Speaking,Communication
7533,30442,Customer Experience Manager,Project Management,Business
7533,13005,Legal Secretary,Marketing,Business
7533,13005,Legal Secretary,Web Development,Computer Science
7533,13005,Legal Secretary,Public Speaking,Communication
7533,13005,Legal Secretary,Digital Marketing,Business
6616,75068,Environmental Engineer,Problem Solving,Mathematics
6616,75068,Environmental Engineer,Digital Marketing,Business
6616,75068,Environmental Engineer,Web Development,Computer Science
6616,45744,Talent Acquisition Specialist,Project Management,Business
6616,40616,Financial Planner,Graphic Design,Design
6616,40616,Financial Planner,Public Speaking,Communication
6616,40616,Financial Planner,Digital Marketing,Business
6616,21541,Financial Analyst,Creative Writing,Literature
89723,36114,HR Director,Problem Solving,Mathematics
89723,36114,HR Director,Graphic Design,Design
89723,36114,HR Director,Web Development,Computer Science
89723,36114,HR Director,Project Management,Business
89723,16977,Mechanical Technician,Public Speaking,Communication
89723,27384,Executive Assistant,Marketing,Business
89723,27384,Executive Assistant,Graphic Design,Design
89723,36732,IT Manager,Web Development,Computer Science
89723,36732,IT Manager,Programming,Computer Science
66125,80204,Data Analyst,Public Speaking,Communication
66125,41536,Dental Assistant,Marketing,Business
66125,41536,Dental Assistant,Digital Marketing,Business
66125,41536,Dental Assistant,Public Speaking,Communication
66125,41536,Dental Assistant,Graphic Design,Design
66125,99820,Marketing Communications Manager,Problem Solving,Mathematics
66125,99820,Marketing Communications Manager,Programming,Computer Science
66125,99820,Marketing Communications Manager,Graphic Design,Design
66125,36878,Business Development Manager,Graphic Design,Design
66125,36878,Business Development Manager,Web Development,Computer Science
26169,68372,Customer Experience Manager,Marketing,Business
26169,68372,Customer Experience Manager,Project Management,Business
26169,3291,Event Coordinator,Web Development,Computer Science
26169,3291,Event Coordinator,Creative Writing,Literature
26169,3291,Event Coordinator,Public Speaking,Communication
26169,20821,Environmental Scientist,Web Development,Computer Science
26169,20821,Environmental Scientist,Marketing,Business
26169,20821,Environmental Scientist,Programming,Computer Science
26169,20821,Environmental Scientist,Problem Solving,Mathematics
26169,57047,Business Development Manager,Marketing,Business
26169,57047,Business Development Manager,Graphic Design,Design
26169,57047,Business Development Manager,Data Analysis,Statistics
26169,57047,Business Development Manager,Programming,Computer Science
19138,2563,Market Research Assistant,Marketing,Business
19138,2563,Market Research Assistant,Creative Writing,Literature
19138,2563,Market Research Assistant,Digital Marketing,Business
19138,2563,Market Research Assistant,Project Management,Business
19138,51056,Content Writer,Marketing,Business
19138,51056,Content Writer,Programming,Computer Science
19138,64293,Financial Analyst,Problem Solving,Mathematics
19138,64293,Financial Analyst,Data Analysis,Statistics
19138,64293,Financial Analyst,Project Management,Business
19138,33424,Market Research Analyst,Marketing,Business
19138,33424,Market Research Analyst,Web Development,Computer Science
19138,33424,Market Research Analyst,Creative Writing,Literature
19138,33424,Market Research Analyst,Graphic Design,Design
73490,78189,Logistics Manager,Creative Writing,Literature
73490,78189,Logistics Manager,Data Analysis,Statistics
73490,78189,Logistics Manager,Graphic Design,Design
73490,27384,Occupational Therapist,Web Development,Computer Science
73490,27384,Occupational Therapist,Programming,Computer Science
31995,33344,Medical Assistant,Graphic Design,Design
41057,15701,Interior Decorator,Problem Solving,Mathematics
41057,15701,Interior Decorator,Public Speaking,Communication
41057,15701,Interior Decorator,Graphic Design,Design
41057,34554,Dental Hygienist,Web Development,Computer Science
41057,34554,Dental Hygienist,Data Analysis,Statistics
41057,86480,Market Research Assistant,Web Development,Computer Science
41057,45723,Logistics Coordinator,Graphic Design,Design
41057,45723,Logistics Coordinator,Data Analysis,Statistics
50278,50242,Business Development Coordinator,Digital Marketing,Business
50278,50242,Business Development Coordinator,Public Speaking,Communication
50278,50242,Business Development Coordinator,Data Analysis,Statistics
50278,72421,IT Consultant,Marketing,Business
50278,72421,IT Consultant,Project Management,Business
50278,72421,IT Consultant,Programming,Computer Science
5576,73122,Legal Analyst,Graphic Design,Design
5576,73122,Legal Analyst,Web Development,Computer Science
5576,16959,Human Resources Manager,Creative Writing,Literature
5576,16959,Human Resources Manager,Web Development,Computer Science
5576,16959,Human Resources Manager,Problem Solving,Mathematics
5576,16959,Human Resources Manager,Public Speaking,Communication
5576,16959,Human Resources Manager,Programming,Computer Science
5576,24485,Public Relations Coordinator,Graphic Design,Design
5576,24485,Public Relations Coordinator,Data Analysis,Statistics
38805,49332,IT Manager,Graphic Design,Design
38805,49332,IT Manager,Data Analysis,Statistics
38805,49332,IT Manager,Programming,Computer Science
38805,51383,Insurance Underwriter,Creative Writing,Literature
38805,51383,Insurance Underwriter,Web Development,Computer Science
38805,51383,Insurance Underwriter,Digital Marketing,Business
38805,51383,Insurance Underwriter,Problem Solving,Mathematics
38805,51383,Insurance Underwriter,Data Analysis,Statistics
84744,5857,Dental Assistant,Marketing,Business
84744,5857,Dental Assistant,Public Speaking,Communication
84744,5857,Dental Assistant,Web Development,Computer Science
52201,27839,Healthcare Consultant,Creative Writing,Literature
52201,27839,Healthcare Consultant,Data Analysis,Statistics
52201,10576,Technical Writer,Creative Writing,Literature
52201,10576,Technical Writer,Programming,Computer Science
52201,50372,HR Recruiter,Graphic Design,Design
52201,50372,HR Recruiter,Programming,Computer Science
52968,96580,Legal Secretary,Web Development,Computer Science
52968,96580,Legal Secretary,Digital Marketing,Business
52968,96580,Legal Secretary,Data Analysis,Statistics
52968,29425,HR Coordinator,Public Speaking,Communication
52968,29425,HR Coordinator,Project Management,Business
52968,29425,HR Coordinator,Data Analysis,Statistics
52968,29425,HR Coordinator,Graphic Design,Design
52968,3117,Customer Service Representative,Problem Solving,Mathematics
52968,3117,Customer Service Representative,Public Speaking,Communication
70411,11153,Medical Technologist,Digital Marketing,Business
70411,45102,UI/UX Developer,Problem Solving,Mathematics
70411,45102,UI/UX Developer,Creative Writing,Literature
70411,45102,UI/UX Developer,Web Development,Computer Science
70411,45102,UI/UX Developer,Programming,Computer Science
70411,68372,Talent Acquisition Specialist,Problem Solving,Mathematics
70411,68372,Talent Acquisition Specialist,Public Speaking,Communication
70411,68372,Talent Acquisition Specialist,Data Analysis,Statistics
70411,37092,Corporate Trainer,Problem Solving,Mathematics
70411,37092,Corporate Trainer,Web Development,Computer Science
70411,37092,Corporate Trainer,Programming,Computer Science
70411,99820,Lawyer,Problem Solving,Mathematics
70411,99820,Lawyer,Public Speaking,Communication
70411,99820,Lawyer,Project Management,Business
34226,11153,Architect,Web Development,Computer Science
34226,11153,Architect,Creative Writing,Literature
34226,11153,Architect,Public Speaking,Communication
34226,11153,Architect,Digital Marketing,Business
34226,96422,Legal Researcher,Marketing,Business
34226,96422,Legal Researcher,Public Speaking,Communication
34226,96422,Legal Researcher,Digital Marketing,Business
34226,19056,Marketing Analyst,Web Development,Computer Science
34226,19056,Marketing Analyst,Problem Solving,Mathematics
34226,19056,Marketing Analyst,Project Management,Business
34226,19056,Marketing Analyst,Public Speaking,Communication
65162,48155,Insurance Claims Adjuster,Web Development,Computer Science
65162,48155,Insurance Claims Adjuster,Digital Marketing,Business
65162,48155,Insurance Claims Adjuster,Public Speaking,Communication
65162,41113,Insurance Claims Adjuster,Public Speaking,Communication
65162,78341,IT Project Manager,Web Development,Computer Science
65162,78341,IT Project Manager,Creative Writing,Literature
65162,78341,IT Project Manager,Digital Marketing,Business
65162,78341,IT Project Manager,Problem Solving,Mathematics
65162,78341,IT Project Manager,Project Management,Business
65162,30273,Supply Chain Coordinator,Problem Solving,Mathematics
65162,30273,Supply Chain Coordinator,Web Development,Computer Science
75028,57047,Compliance Officer,Web Development,Computer Science
75028,57047,Compliance Officer,Graphic Design,Design
75028,57047,Compliance Officer,Digital Marketing,Business
75028,57047,Compliance Officer,Problem Solving,Mathematics
75028,57047,Compliance Officer,Public Speaking,Communication
75028,30980,IT Consultant,Problem Solving,Mathematics
75028,30980,IT Consultant,Digital Marketing,Business
75028,30980,IT Consultant,Project Management,Business
75028,67360,Physical Therapy Assistant,Creative Writing,Literature
75028,67360,Physical Therapy Assistant,Problem Solving,Mathematics
75028,67360,Physical Therapy Assistant,Digital Marketing,Business
75028,67360,Physical Therapy Assistant,Public Speaking,Communication
75028,4960,Account Coordinator,Problem Solving,Mathematics
75028,4960,Account Coordinator,Project Management,Business
75028,4960,Account Coordinator,Public Speaking,Communication
25265,19787,Accountant,Creative Writing,Literature
25265,19787,Accountant,Graphic Design,Design
25265,19787,Accountant,Data Analysis,Statistics
25265,67360,Network Analyst,Project Management,Business
25265,34197,Copywriter,Web Development,Computer Science
25265,34197,Copywriter,Creative Writing,Literature
25265,34197,Copywriter,Digital Marketing,Business
25265,34197,Copywriter,Problem Solving,Mathematics
25265,20821,Physician Assistant,Problem Solving,Mathematics
25265,20821,Physician Assistant,Data Analysis,Statistics
25265,20821,Physician Assistant,Digital Marketing,Business
25265,20821,Physician Assistant,Public Speaking,Communication
25265,96580,Electrician,Creative Writing,Literature
25265,96580,Electrician,Data Analysis,Statistics
25265,96580,Electrician,Digital Marketing,Business
36979,11273,Investment Analyst,Creative Writing,Literature
36979,11273,Investment Analyst,Digital Marketing,Business
36979,97781,Lawyer,Web Development,Computer Science
36979,97781,Lawyer,Programming,Computer Science
36979,59703,Investment Banker,Problem Solving,Mathematics
36979,59703,Investment Banker,Graphic Design,Design
36979,59703,Investment Banker,Digital Marketing,Business
36979,59703,Investment Banker,Marketing,Business
36979,61151,Executive Assistant,Creative Writing,Literature
36979,61151,Executive Assistant,Problem Solving,Mathematics
36979,83429,Occupational Health and Safety Specialist,Marketing,Business
26162,13083,Mechanical Technician,Data Analysis,Statistics
26162,13083,Mechanical Technician,Programming,Computer Science
26162,46487,Web Developer,Marketing,Business
26162,46487,Web Developer,Problem Solving,Mathematics
26162,46487,Web Developer,Public Speaking,Communication
26162,46487,Web Developer,Programming,Computer Science
3344,32233,Production Supervisor,Public Speaking,Communication
3344,32233,Production Supervisor,Digital Marketing,Business
3344,24444,Supply Chain Manager,Web Development,Computer Science
3344,24444,Supply Chain Manager,Programming,Computer Science
3344,34103,Sales Representative,Creative Writing,Literature
12704,698,Physical Therapist,Web Development,Computer Science
12704,698,Physical Therapist,Digital Marketing,Business
12704,698,Physical Therapist,Project Management,Business
12704,38562,Sales Manager,Problem Solving,Mathematics
12704,38562,Sales Manager,Graphic Design,Design
12704,38562,Sales Manager,Project Management,Business
12704,38562,Sales Manager,Public Speaking,Communication
12704,71576,Event Coordinator,Creative Writing,Literature
12704,71576,Event Coordinator,Public Speaking,Communication
12704,71576,Event Coordinator,Digital Marketing,Business
12704,71576,Event Coordinator,Graphic Design,Design
48119,72421,Event Manager,Public Speaking,Communication
48119,72421,Event Manager,Digital Marketing,Business
50658,5857,IT Support Specialist,Data Analysis,Statistics
50658,5857,IT Support Specialist,Programming,Computer Science
50658,24846,Mechanical Engineer,Creative Writing,Literature
50658,24846,Mechanical Engineer,Data Analysis,Statistics
50658,24846,Mechanical Engineer,Web Development,Computer Science
50658,24846,Mechanical Engineer,Programming,Computer Science
50658,92591,Medical Billing Specialist,Problem Solving,Mathematics
50658,92591,Medical Billing Specialist,Graphic Design,Design
50658,92591,Medical Billing Specialist,Programming,Computer Science
31181,51497,Environmental Scientist,Graphic Design,Design
31181,51497,Environmental Scientist,Project Management,Business
68447,51497,Production Supervisor,Marketing,Business
68447,51497,Production Supervisor,Graphic Design,Design
68447,51497,Production Supervisor,Public Speaking,Communication
68447,51497,Production Supervisor,Data Analysis,Statistics
68447,51497,Production Supervisor,Programming,Computer Science
68447,96580,Marketing Analyst,Graphic Design,Design
8709,82991,Administrative Assistant,Project Management,Business
8709,82991,Administrative Assistant,Data Analysis,Statistics
8709,82991,Administrative Assistant,Programming,Computer Science
8709,47262,Civil Engineer,Marketing,Business
8709,47262,Civil Engineer,Graphic Design,Design
8709,47262,Civil Engineer,Data Analysis,Statistics
88725,87255,Tax Accountant,Graphic Design,Design
88725,67443,Insurance Claims Adjuster,Marketing,Business
88725,67443,Insurance Claims Adjuster,Problem Solving,Mathematics
22734,18347,Civil Engineer,Programming,Computer Science
22734,47377,Research Assistant,Web Development,Computer Science
22734,30442,Business Systems Analyst,Marketing,Business
22734,30442,Business Systems Analyst,Public Speaking,Communication
40283,72200,Data Entry Specialist,Creative Writing,Literature
40283,72200,Data Entry Specialist,Problem Solving,Mathematics
40283,72200,Data Entry Specialist,Public Speaking,Communication
40283,72200,Data Entry Specialist,Web Development,Computer Science
42031,36878,Public Relations Manager,Web Development,Computer Science
42031,78341,Quality Control Inspector,Digital Marketing,Business
42031,78341,Quality Control Inspector,Programming,Computer Science
42031,34197,Financial Clerk,Web Development,Computer Science
42031,34197,Financial Clerk,Data Analysis,Statistics
42031,34197,Financial Clerk,Project Management,Business
42031,34197,Financial Clerk,Programming,Computer Science
42031,89144,Network Security Engineer,Digital Marketing,Business
74147,51383,Digital Marketing Manager,Creative Writing,Literature
74147,51383,Digital Marketing Manager,Graphic Design,Design
74147,90931,Financial Manager,Digital Marketing,Business
74147,90931,Financial Manager,Project Management,Business
74147,11922,Supply Chain Coordinator,Graphic Design,Design
74147,11922,Supply Chain Coordinator,Data Analysis,Statistics
74147,11922,Supply Chain Coordinator,Digital Marketing,Business
74147,11922,Supply Chain Coordinator,Programming,Computer Science
74147,74665,Financial Advisor,Graphic Design,Design
74147,74665,Financial Advisor,Digital Marketing,Business
74147,74665,Financial Advisor,Project Management,Business
76723,90935,Occupational Therapist Assistant,Graphic Design,Design
76723,2563,Digital Marketing Manager,Web Development,Computer Science
76723,2563,Digital Marketing Manager,Public Speaking,Communication
76723,69992,Supply Chain Analyst,Problem Solving,Mathematics
76723,40311,IT Security Specialist,Marketing,Business
23467,34103,Real Estate Agent,Problem Solving,Mathematics
23467,34103,Real Estate Agent,Web Development,Computer Science
23467,34103,Real Estate Agent,Digital Marketing,Business
35455,96088,Event Manager,Marketing,Business
35455,96088,Event Manager,Public Speaking,Communication
35455,33424,Compliance Officer,Marketing,Business
35455,33424,Compliance Officer,Programming,Computer Science
35455,47262,Supply Chain Coordinator,Public Speaking,Communication
35455,47262,Supply Chain Coordinator,Digital Marketing,Business
35455,46487,Architect,Marketing,Business
35455,46487,Architect,Creative Writing,Literature
48790,51497,UX Designer,Marketing,Business
48790,51497,UX Designer,Creative Writing,Literature
48790,51497,UX Designer,Graphic Design,Design
48790,51497,UX Designer,Data Analysis,Statistics
48790,51497,UX Designer,Public Speaking,Communication
48790,23595,User Experience Researcher,Public Speaking,Communication
48790,50497,Systems Engineer,Problem Solving,Mathematics
48790,50497,Systems Engineer,Web Development,Computer Science
48790,78189,Dental Assistant,Public Speaking,Communication
48790,78189,Dental Assistant,Programming,Computer Science
48790,78189,Dental Assistant,Data Analysis,Statistics
48790,78189,Dental Assistant,Graphic Design,Design
48790,71576,Physical Therapist,Digital Marketing,Business
38556,34103,Business Development Executive,Public Speaking,Communication
38556,34103,Business Development Executive,Programming,Computer Science
38556,90216,Business Development Executive,Problem Solving,Mathematics
38556,90216,Business Development Executive,Web Development,Computer Science
38556,90216,Business Development Executive,Public Speaking,Communication
38556,78012,Project Coordinator,Problem Solving,Mathematics
38556,78012,Project Coordinator,Web Development,Computer Science
38556,78012,Project Coordinator,Project Management,Business
38556,78012,Project Coordinator,Programming,Computer Science
38556,55952,Speech-Language Pathologist,Project Management,Business
38556,55952,Speech-Language Pathologist,Digital Marketing,Business
38556,55952,Speech-Language Pathologist,Programming,Computer Science
38556,26542,Market Research Analyst,Creative Writing,Literature
38556,26542,Market Research Analyst,Public Speaking,Communication
33073,94019,Financial Analyst,Problem Solving,Mathematics
33073,94019,Financial Analyst,Web Development,Computer Science
33073,94019,Financial Analyst,Digital Marketing,Business
33073,21577,HR Manager,Creative Writing,Literature
88192,69486,Quality Control Inspector,Creative Writing,Literature
88192,69486,Quality Control Inspector,Web Development,Computer Science
88192,69486,Quality Control Inspector,Data Analysis,Statistics
88192,43152,Speech-Language Pathologist,Public Speaking,Communication
88192,10576,Business Development Coordinator,Web Development,Computer Science
88192,10576,Business Development Coordinator,Data Analysis,Statistics
88192,10576,Business Development Coordinator,Project Management,Business
88192,10576,Business Development Coordinator,Public Speaking,Communication
88192,29863,Operations Coordinator,Digital Marketing,Business
88192,65952,Network Security Engineer,Marketing,Business
45570,73568,Digital Marketing Specialist,Creative Writing,Literature
45570,73568,Digital Marketing Specialist,Problem Solving,Mathematics
45570,73568,Digital Marketing Specialist,Project Management,Business
45570,73568,Digital Marketing Specialist,Graphic Design,Design
45570,29863,Software Engineer,Creative Writing,Literature
45570,29863,Software Engineer,Problem Solving,Mathematics
45570,29863,Software Engineer,Data Analysis,Statistics
45570,29863,Software Engineer,Public Speaking,Communication
45570,29863,Software Engineer,Programming,Computer Science
45570,45102,Customer Experience Manager,Marketing,Business
45570,45102,Customer Experience Manager,Creative Writing,Literature
45570,45102,Customer Experience Manager,Graphic Design,Design
45570,45102,Customer Experience Manager,Data Analysis,Statistics
45570,45102,Customer Experience Manager,Project Management,Business
21156,4960,Data Scientist,Marketing,Business
21156,4960,Data Scientist,Project Management,Business
21156,53452,Operations Manager,Marketing,Business
21156,53452,Operations Manager,Graphic Design,Design
21156,53452,Operations Manager,Project Management,Business
21156,53452,Operations Manager,Digital Marketing,Business
21156,94019,Medical Billing Specialist,Marketing,Business
21156,94019,Medical Billing Specialist,Project Management,Business
89993,34103,Environmental Engineer,Problem Solving,Mathematics
89993,34103,Environmental Engineer,Marketing,Business
89993,34103,Environmental Engineer,Data Analysis,Statistics
89993,34103,Environmental Engineer,Public Speaking,Communication
89993,86112,Financial Analyst,Marketing,Business
89993,86112,Financial Analyst,Creative Writing,Literature
89993,86112,Financial Analyst,Project Management,Business
89993,86112,Financial Analyst,Data Analysis,Statistics
89993,97781,Customer Experience Manager,Creative Writing,Literature
89993,97781,Customer Experience Manager,Data Analysis,Statistics
89993,56583,Event Manager,Public Speaking,Communication
89993,56583,Event Manager,Data Analysis,Statistics
89993,56583,Event Manager,Project Management,Business
89993,56583,Event Manager,Programming,Computer Science
54172,21714,Customer Service Representative,Marketing,Business
54172,21714,Customer Service Representative,Web Development,Computer Science
54172,21714,Customer Service Representative,Graphic Design,Design
54172,21714,Customer Service Representative,Data Analysis,Statistics
54172,21714,Customer Service Representative,Programming,Computer Science
54172,70357,Financial Controller,Public Speaking,Communication
54172,70357,Financial Controller,Digital Marketing,Business
54172,85993,Event Planner,Problem Solving,Mathematics
54172,85993,Event Planner,Public Speaking,Communication
54172,74121,Social Worker,Marketing,Business
54172,74121,Social Worker,Creative Writing,Literature
54172,74121,Social Worker,Digital Marketing,Business
54172,74121,Social Worker,Data Analysis,Statistics
54172,74121,Social Worker,Programming,Computer Science
87424,40287,Network Engineer,Digital Marketing,Business
87424,40287,Network Engineer,Programming,Computer Science
87424,89144,IT Project Manager,Public Speaking,Communication
87424,89144,IT Project Manager,Data Analysis,Statistics
87424,89144,IT Project Manager,Project Management,Business
87424,92591,Marketing Assistant,Problem Solving,Mathematics
87424,92591,Marketing Assistant,Public Speaking,Communication
87424,21714,Executive Assistant,Graphic Design,Design
87424,83429,Interior Designer,Marketing,Business
87424,83429,Interior Designer,Digital Marketing,Business
87424,83429,Interior Designer,Programming,Computer Science
8691,53473,Sales Support Specialist,Graphic Design,Design
8691,78012,Legal Secretary,Marketing,Business
8691,78012,Legal Secretary,Data Analysis,Statistics
8691,78012,Legal Secretary,Programming,Computer Science
8691,94859,Biomedical Engineer,Public Speaking,Communication
22622,30442,Business Development Manager,Programming,Computer Science
22622,5807,Brand Strategist,Problem Solving,Mathematics
22622,5807,Brand Strategist,Data Analysis,Statistics
22622,5807,Brand Strategist,Digital Marketing,Business
22622,5807,Brand Strategist,Project Management,Business
22622,30442,Logistics Coordinator,Programming,Computer Science
90659,26542,Investment Analyst,Creative Writing,Literature
90659,26542,Investment Analyst,Programming,Computer Science
90659,26542,Investment Analyst,Data Analysis,Statistics
90659,26542,Investment Analyst,Graphic Design,Design
90659,21577,HR Manager,Web Development,Computer Science
90659,21577,HR Manager,Public Speaking,Communication
90659,21577,HR Manager,Project Management,Business
32204,96236,Insurance Agent,Public Speaking,Communication
32204,28350,Retail Manager,Marketing,Business
32204,28350,Retail Manager,Web Development,Computer Science
32204,28350,Retail Manager,Digital Marketing,Business
32204,28350,Retail Manager,Public Speaking,Communication
32204,28350,Retail Manager,Project Management,Business
32204,86964,Legal Secretary,Marketing,Business
32204,86964,Legal Secretary,Project Management,Business
91543,99149,IT Security Analyst,Problem Solving,Mathematics
91543,37092,Registered Nurse,Problem Solving,Mathematics
91543,37092,Registered Nurse,Project Management,Business
91543,37092,Registered Nurse,Digital Marketing,Business
91543,37092,Registered Nurse,Public Speaking,Communication
82447,27839,Network Administrator,Problem Solving,Mathematics
82447,27839,Network Administrator,Marketing,Business
82447,27839,Network Administrator,Project Management,Business
82447,16365,HR Generalist,Graphic Design,Design
82447,56583,Social Media Specialist,Marketing,Business
82447,56583,Social Media Specialist,Data Analysis,Statistics
82447,56583,Social Media Specialist,Programming,Computer Science
79238,99274,IT Manager,Web Development,Computer Science
79238,99274,IT Manager,Creative Writing,Literature
79238,99274,IT Manager,Digital Marketing,Business
79238,55811,Cybersecurity Engineer,Creative Writing,Literature
79238,55811,Cybersecurity Engineer,Web Development,Computer Science
79238,3724,Data Entry Specialist,Marketing,Business
79238,3724,Data Entry Specialist,Creative Writing,Literature
79238,3724,Data Entry Specialist,Data Analysis,Statistics
79238,3724,Data Entry Specialist,Project Management,Business
79238,86459,Legal Secretary,Problem Solving,Mathematics
79238,86459,Legal Secretary,Public Speaking,Communication
79238,86459,Legal Secretary,Data Analysis,Statistics
79238,19056,IT Security Specialist,Marketing,Business
79238,19056,IT Security Specialist,Data Analysis,Statistics
79238,19056,IT Security Specialist,Project Management,Business
79238,19056,IT Security Specialist,Programming,Computer Science
86893,33340,Insurance Underwriter,Creative Writing,Literature
86893,33340,Insurance Underwriter,Marketing,Business
90732,29425,Marketing Communications Manager,Public Speaking,Communication
13012,3291,Accountant,Web Development,Computer Science
13012,3291,Accountant,Marketing,Business
13012,3291,Accountant,Project Management,Business
13012,3291,Accountant,Data Analysis,Statistics
65017,26800,Customer Experience Manager,Creative Writing,Literature
65017,26800,Customer Experience Manager,Web Development,Computer Science
65017,26800,Customer Experience Manager,Graphic Design,Design
65017,26800,Customer Experience Manager,Data Analysis,Statistics
65017,26800,Customer Experience Manager,Project Management,Business
82785,83817,Systems Administrator,Problem Solving,Mathematics
82785,83817,Systems Administrator,Data Analysis,Statistics
82785,83817,Systems Administrator,Programming,Computer Science
82785,23704,Content Writer,Graphic Design,Design
82785,23704,Content Writer,Project Management,Business
82785,23704,Content Writer,Programming,Computer Science
82785,11153,User Interface Designer,Web Development,Computer Science
82785,11153,User Interface Designer,Digital Marketing,Business
82785,11153,User Interface Designer,Project Management,Business
82785,24846,Financial Auditor,Creative Writing,Literature
82785,24846,Financial Auditor,Data Analysis,Statistics
82785,24846,Financial Auditor,Public Speaking,Communication
82785,83429,Data Scientist,Programming,Computer Science
55267,57319,Project Manager,Web Development,Computer Science
55267,57319,Project Manager,Digital Marketing,Business
30818,65826,Network Administrator,Creative Writing,Literature
30818,65826,Network Administrator,Data Analysis,Statistics
30818,13250,Mechanical Technician,Public Speaking,Communication
30818,13250,Mechanical Technician,Programming,Computer Science
30818,99149,Executive Assistant,Problem Solving,Mathematics
30818,73496,Financial Controller,Project Management,Business
20868,10576,Business Development Coordinator,Marketing,Business
20868,10576,Business Development Coordinator,Project Management,Business
20868,10576,Business Development Coordinator,Digital Marketing,Business
20868,65952,Business Development Manager,Problem Solving,Mathematics
20868,65952,Business Development Manager,Creative Writing,Literature
20868,65952,Business Development Manager,Data Analysis,Statistics
37222,38390,Recruiting Coordinator,Web Development,Computer Science
37222,38390,Recruiting Coordinator,Problem Solving,Mathematics
