Job_ID,Proficiency,Domain,Years of experience
63867,Marketing,Business,18
63867,Graphic Design,Design,1
29759,Programming,Computer Science,3
29759,Marketing,Business,7
14613,Graphic Design,Design,14
14613,Programming,Computer Science,10
14613,Creative Writing,Literature,18
49558,Marketing,Business,16
49558,Project Management,Business,12
88731,Graphic Design,Design,20
88731,Data Analysis,Statistics,5
88731,Graphic Design,Design,2
88731,Digital Marketing,Business,13
88731,Public Speaking,Communication,7
40029,Web Development,Computer Science,1
40029,Graphic Design,Design,4
40029,Data Analysis,Statistics,3
40029,Marketing,Business,7
40029,Marketing,Business,2
36078,Data Analysis,Statistics,3
36078,Graphic Design,Design,12
36078,Digital Marketing,Business,19
2126,Creative Writing,Literature,13
2126,Problem Solving,Mathematics,3
2126,Programming,Computer Science,3
43735,Digital Marketing,Business,6
14210,Problem Solving,Mathematics,15
14210,Project Management,Business,2
73945,Data Analysis,Statistics,14
73945,Public Speaking,Communication,2
84178,Graphic Design,Design,9
84178,Project Management,Business,15
84178,Project Management,Business,15
84178,Problem Solving,Mathematics,3
98122,Digital Marketing,Business,5
98122,Creative Writing,Literature,20
98122,Project Management,Business,6
59121,Project Management,Business,4
59121,Programming,Computer Science,10
59121,Public Speaking,Communication,10
59121,Marketing,Business,19
22551,Marketing,Business,17
37624,Project Management,Business,18
37624,Creative Writing,Literature,8
37624,Graphic Design,Design,13
94916,Digital Marketing,Business,2
94916,Programming,Computer Science,4
14340,Problem Solving,Mathematics,1
14340,Creative Writing,Literature,0
14340,Programming,Computer Science,19
20082,Data Analysis,Statistics,2
20082,Marketing,Business,19
20082,Web Development,Computer Science,2
20082,Marketing,Business,17
90113,Data Analysis,Statistics,9
90113,Data Analysis,Statistics,20
90113,Digital Marketing,Business,12
16021,Marketing,Business,9
61726,Public Speaking,Communication,4
61726,Web Development,Computer Science,2
61726,Web Development,Computer Science,17
61726,Programming,Computer Science,1
61726,Public Speaking,Communication,18
59135,Data Analysis,Statistics,7
59135,Marketing,Business,2
59135,Web Development,Computer Science,7
59135,Project Management,Business,4
87030,Data Analysis,Statistics,8
87030,Project Management,Business,7
87030,Data Analysis,Statistics,17
87030,Graphic Design,Design,9
79650,Creative Writing,Literature,11
79650,Data Analysis,Statistics,14
79650,Problem Solving,Mathematics,2
79650,Marketing,Business,10
8980,Problem Solving,Mathematics,5
8980,Graphic Design,Design,6
8980,Creative Writing,Literature,6
50306,Creative Writing,Literature,4
50306,Problem Solving,Mathematics,3
50306,Public Speaking,Communication,12
50306,Graphic Design,Design,18
50306,Digital Marketing,Business,14
81332,Project Management,Business,16
81332,Programming,Computer Science,5
81332,Problem Solving,Mathematics,9
43092,Graphic Design,Design,15
43092,Creative Writing,Literature,5
43092,Programming,Computer Science,19
43092,Marketing,Business,18
44305,Digital Marketing,Business,12
44305,Marketing,Business,15
44305,Creative Writing,Literature,19
44305,Marketing,Business,16
3545,Digital Marketing,Business,11
3545,Project Management,Business,7
3545,Web Development,Computer Science,8
3545,Marketing,Business,7
95607,Problem Solving,Mathematics,13
77939,Project Management,Business,17
7612,Public Speaking,Communication,11
7612,Marketing,Business,2
7612,Programming,Computer Science,17
7612,Data Analysis,Statistics,13
64416,Problem Solving,Mathematics,12
22517,Problem Solving,Mathematics,16
22517,Creative Writing,Literature,10
22517,Creative Writing,Literature,4
22517,Project Management,Business,4
22517,Project Management,Business,17
3805,Data Analysis,Statistics,2
3805,Graphic Design,Design,13
3805,Project Management,Business,2
3805,Graphic Design,Design,5
3805,Marketing,Business,3
72594,Programming,Computer Science,10
72594,Project Management,Business,15
72594,Marketing,Business,10
41448,Problem Solving,Mathematics,3
34874,Problem Solving,Mathematics,18
34874,Project Management,Business,16
34874,Graphic Design,Design,13
10428,Digital Marketing,Business,5
10428,Problem Solving,Mathematics,10
10428,Digital Marketing,Business,0
10428,Programming,Computer Science,13
87810,Project Management,Business,5
64451,Digital Marketing,Business,16
64451,Web Development,Computer Science,8
66638,Project Management,Business,14
66638,Public Speaking,Communication,13
66638,Web Development,Computer Science,1
66638,Digital Marketing,Business,9
66638,Data Analysis,Statistics,10
83129,Web Development,Computer Science,13
83129,Digital Marketing,Business,2
83129,Graphic Design,Design,20
83129,Digital Marketing,Business,14
55515,Project Management,Business,12
55515,Data Analysis,Statistics,12
55515,Digital Marketing,Business,7
1503,Problem Solving,Mathematics,16
1503,Marketing,Business,20
1503,Problem Solving,Mathematics,7
1272,Problem Solving,Mathematics,14
1272,Project Management,Business,1
1272,Graphic Design,Design,7
91713,Creative Writing,Literature,9
91713,Web Development,Computer Science,6
91713,Web Development,Computer Science,20
30965,Programming,Computer Science,8
30965,Project Management,Business,1
30965,Web Development,Computer Science,9
39824,Data Analysis,Statistics,3
39824,Creative Writing,Literature,10
92369,Programming,Computer Science,3
92369,Marketing,Business,1
92369,Graphic Design,Design,13
92369,Web Development,Computer Science,11
70434,Public Speaking,Communication,6
70434,Problem Solving,Mathematics,17
70434,Project Management,Business,13
70434,Web Development,Computer Science,17
70434,Graphic Design,Design,11
49372,Marketing,Business,17
49372,Project Management,Business,12
49372,Marketing,Business,18
49372,Public Speaking,Communication,4
49372,Data Analysis,Statistics,0
81015,Graphic Design,Design,5
81015,Data Analysis,Statistics,19
81015,Problem Solving,Mathematics,18
81015,Programming,Computer Science,19
81015,Data Analysis,Statistics,3
36458,Public Speaking,Communication,16
36458,Programming,Computer Science,14
36458,Digital Marketing,Business,14
36458,Graphic Design,Design,10
36458,Creative Writing,Literature,20
51625,Problem Solving,Mathematics,16
51625,Data Analysis,Statistics,13
51625,Digital Marketing,Business,20
70392,Web Development,Computer Science,6
70392,Project Management,Business,2
70392,Web Development,Computer Science,18
70392,Data Analysis,Statistics,16
82241,Project Management,Business,13
46159,Problem Solving,Mathematics,19
46159,Programming,Computer Science,4
46159,Data Analysis,Statistics,13
46159,Digital Marketing,Business,8
46159,Problem Solving,Mathematics,14
46461,Project Management,Business,4
46461,Web Development,Computer Science,14
46461,Creative Writing,Literature,20
39983,Programming,Computer Science,14
39983,Graphic Design,Design,9
39983,Graphic Design,Design,20
39983,Creative Writing,Literature,0
39983,Marketing,Business,6
53548,Digital Marketing,Business,13
53548,Public Speaking,Communication,3
53548,Public Speaking,Communication,10
53548,Graphic Design,Design,14
69427,Digital Marketing,Business,15
69427,Web Development,Computer Science,4
69427,Graphic Design,Design,8
38578,Project Management,Business,14
39079,Problem Solving,Mathematics,17
39079,Digital Marketing,Business,18
11960,Web Development,Computer Science,4
11960,Project Management,Business,5
11960,Project Management,Business,16
11960,Problem Solving,Mathematics,7
78355,Marketing,Business,20
78355,Programming,Computer Science,5
78355,Marketing,Business,11
25310,Digital Marketing,Business,4
25310,Public Speaking,Communication,15
25310,Public Speaking,Communication,16
25310,Data Analysis,Statistics,18
25310,Creative Writing,Literature,19
79095,Digital Marketing,Business,12
79095,Public Speaking,Communication,11
79095,Problem Solving,Mathematics,4
79095,Digital Marketing,Business,2
87781,Creative Writing,Literature,15
87781,Programming,Computer Science,2
87781,Problem Solving,Mathematics,7
87781,Graphic Design,Design,9
87781,Creative Writing,Literature,19
20460,Creative Writing,Literature,9
36875,Graphic Design,Design,16
36875,Problem Solving,Mathematics,15
36875,Creative Writing,Literature,13
95763,Web Development,Computer Science,15
95763,Marketing,Business,3
95763,Marketing,Business,3
95763,Project Management,Business,3
95763,Creative Writing,Literature,16
38335,Public Speaking,Communication,16
38335,Graphic Design,Design,6
95594,Problem Solving,Mathematics,19
95594,Web Development,Computer Science,0
95594,Creative Writing,Literature,11
95594,Creative Writing,Literature,9
59176,Project Management,Business,6
93944,Digital Marketing,Business,19
93944,Digital Marketing,Business,8
93944,Creative Writing,Literature,8
93944,Problem Solving,Mathematics,8
10520,Public Speaking,Communication,4
10520,Public Speaking,Communication,9
10520,Project Management,Business,14
10520,Web Development,Computer Science,19
10520,Digital Marketing,Business,15
10564,Digital Marketing,Business,5
10564,Project Management,Business,9
50802,Digital Marketing,Business,6
50802,Programming,Computer Science,2
64417,Digital Marketing,Business,17
64417,Public Speaking,Communication,11
64417,Digital Marketing,Business,19
64417,Problem Solving,Mathematics,0
64417,Graphic Design,Design,20
8013,Web Development,Computer Science,1
8013,Problem Solving,Mathematics,19
8013,Problem Solving,Mathematics,4
8013,Marketing,Business,15
24302,Public Speaking,Communication,0
24302,Programming,Computer Science,2
50136,Project Management,Business,10
50136,Public Speaking,Communication,15
74059,Public Speaking,Communication,8
74059,Public Speaking,Communication,4
74059,Data Analysis,Statistics,5
49983,Digital Marketing,Business,18
49983,Graphic Design,Design,10
49983,Graphic Design,Design,10
76581,Programming,Computer Science,18
89592,Web Development,Computer Science,0
43652,Marketing,Business,0
10563,Public Speaking,Communication,12
10563,Graphic Design,Design,20
10563,Project Management,Business,10
5957,Data Analysis,Statistics,11
5957,Graphic Design,Design,10
5957,Public Speaking,Communication,11
5957,Creative Writing,Literature,14
5957,Web Development,Computer Science,5
38932,Web Development,Computer Science,18
38932,Public Speaking,Communication,19
65268,Graphic Design,Design,12
22048,Public Speaking,Communication,3
68556,Data Analysis,Statistics,5
8287,Graphic Design,Design,13
8287,Programming,Computer Science,7
8287,Digital Marketing,Business,0
8287,Project Management,Business,0
46068,Public Speaking,Communication,2
46068,Graphic Design,Design,13
46068,Digital Marketing,Business,4
48196,Graphic Design,Design,12
48196,Web Development,Computer Science,19
48196,Programming,Computer Science,2
1795,Programming,Computer Science,19
1795,Marketing,Business,3
1795,Data Analysis,Statistics,20
35573,Marketing,Business,14
35573,Public Speaking,Communication,14
58424,Data Analysis,Statistics,13
58424,Marketing,Business,3
58424,Project Management,Business,8
58424,Graphic Design,Design,9
26312,Creative Writing,Literature,12
47260,Graphic Design,Design,13
47260,Programming,Computer Science,9
47260,Digital Marketing,Business,9
47260,Marketing,Business,18
96937,Creative Writing,Literature,19
96937,Creative Writing,Literature,0
6510,Web Development,Computer Science,19
6510,Web Development,Computer Science,1
60979,Programming,Computer Science,14
60979,Digital Marketing,Business,19
60979,Creative Writing,Literature,4
60979,Graphic Design,Design,16
60979,Public Speaking,Communication,18
29210,Public Speaking,Communication,10
29210,Digital Marketing,Business,3
7959,Digital Marketing,Business,9
7959,Digital Marketing,Business,14
7959,Marketing,Business,3
7959,Web Development,Computer Science,4
7959,Problem Solving,Mathematics,16
58914,Marketing,Business,16
58914,Creative Writing,Literature,14
58914,Problem Solving,Mathematics,20
58914,Web Development,Computer Science,2
58914,Public Speaking,Communication,0
72149,Creative Writing,Literature,0
88384,Digital Marketing,Business,20
88384,Creative Writing,Literature,11
88384,Public Speaking,Communication,6
62725,Creative Writing,Literature,2
62725,Digital Marketing,Business,1
62725,Problem Solving,Mathematics,3
59292,Creative Writing,Literature,4
59292,Programming,Computer Science,17
59292,Digital Marketing,Business,3
59292,Digital Marketing,Business,4
87765,Creative Writing,Literature,3
87765,Data Analysis,Statistics,11
76017,Graphic Design,Design,7
69995,Problem Solving,Mathematics,9
69995,Problem Solving,Mathematics,1
69995,Project Management,Business,13
60388,Public Speaking,Communication,5
60388,Public Speaking,Communication,0
60388,Creative Writing,Literature,3
50015,Project Management,Business,10
50015,Project Management,Business,3
50015,Problem Solving,Mathematics,13
50015,Marketing,Business,3
50015,Digital Marketing,Business,12
50426,Public Speaking,Communication,8
42452,Problem Solving,Mathematics,7
42452,Graphic Design,Design,18
42452,Web Development,Computer Science,5
42452,Public Speaking,Communication,9
98463,Graphic Design,Design,5
54857,Web Development,Computer Science,4
54857,Data Analysis,Statistics,15
54857,Data Analysis,Statistics,1
36162,Problem Solving,Mathematics,0
36162,Project Management,Business,8
36162,Project Management,Business,13
36162,Programming,Computer Science,20
36162,Digital Marketing,Business,10
82315,Marketing,Business,14
82315,Web Development,Computer Science,13
82315,Web Development,Computer Science,13
82315,Creative Writing,Literature,14
82315,Public Speaking,Communication,15
36866,Problem Solving,Mathematics,8
36866,Creative Writing,Literature,16
36866,Graphic Design,Design,17
36866,Programming,Computer Science,12
73445,Marketing,Business,2
73445,Public Speaking,Communication,10
73445,Marketing,Business,0
58245,Digital Marketing,Business,14
58245,Problem Solving,Mathematics,12
58245,Public Speaking,Communication,20
24848,Project Management,Business,4
24848,Programming,Computer Science,16
22340,Marketing,Business,16
22340,Creative Writing,Literature,7
73798,Web Development,Computer Science,4
73798,Project Management,Business,0
73798,Creative Writing,Literature,5
73798,Marketing,Business,11
73733,Programming,Computer Science,8
60211,Public Speaking,Communication,6
60211,Data Analysis,Statistics,2
60211,Digital Marketing,Business,3
60211,Web Development,Computer Science,18
11153,Marketing,Business,7
11153,Graphic Design,Design,20
11153,Programming,Computer Science,11
11153,Programming,Computer Science,20
9150,Programming,Computer Science,19
9150,Project Management,Business,8
92155,Data Analysis,Statistics,11
92155,Web Development,Computer Science,7
92155,Digital Marketing,Business,5
92155,Creative Writing,Literature,13
92155,Public Speaking,Communication,13
65538,Creative Writing,Literature,4
65538,Graphic Design,Design,9
39080,Data Analysis,Statistics,16
39080,Problem Solving,Mathematics,9
57289,Problem Solving,Mathematics,6
78428,Marketing,Business,4
91642,Creative Writing,Literature,6
41435,Graphic Design,Design,12
51846,Graphic Design,Design,13
51846,Data Analysis,Statistics,9
65681,Public Speaking,Communication,18
65681,Creative Writing,Literature,14
30083,Marketing,Business,1
30083,Marketing,Business,14
30083,Problem Solving,Mathematics,2
78373,Public Speaking,Communication,14
78373,Digital Marketing,Business,9
78373,Web Development,Computer Science,15
51055,Data Analysis,Statistics,6
51055,Problem Solving,Mathematics,5
51055,Digital Marketing,Business,2
51055,Problem Solving,Mathematics,16
41190,Creative Writing,Literature,12
41190,Project Management,Business,17
41190,Project Management,Business,5
41190,Public Speaking,Communication,7
39491,Project Management,Business,9
39491,Graphic Design,Design,12
39491,Problem Solving,Mathematics,0
39491,Data Analysis,Statistics,3
39491,Creative Writing,Literature,8
37570,Digital Marketing,Business,14
37570,Digital Marketing,Business,12
51451,Digital Marketing,Business,20
51451,Data Analysis,Statistics,13
51451,Problem Solving,Mathematics,17
51451,Project Management,Business,7
51451,Problem Solving,Mathematics,18
22648,Web Development,Computer Science,12
4731,Problem Solving,Mathematics,6
4731,Graphic Design,Design,17
4731,Web Development,Computer Science,9
28105,Data Analysis,Statistics,7
11125,Problem Solving,Mathematics,20
11125,Public Speaking,Communication,7
11125,Graphic Design,Design,7
11125,Marketing,Business,16
11125,Problem Solving,Mathematics,11
46431,Problem Solving,Mathematics,16
88776,Creative Writing,Literature,0
88776,Web Development,Computer Science,13
88776,Web Development,Computer Science,4
88776,Public Speaking,Communication,3
88776,Data Analysis,Statistics,10
77441,Project Management,Business,6
77441,Problem Solving,Mathematics,4
77441,Problem Solving,Mathematics,12
77441,Graphic Design,Design,19
70782,Graphic Design,Design,20
70782,Problem Solving,Mathematics,5
70782,Marketing,Business,16
70782,Problem Solving,Mathematics,11
39274,Problem Solving,Mathematics,17
39274,Marketing,Business,6
39274,Problem Solving,Mathematics,0
3193,Programming,Computer Science,0
3193,Creative Writing,Literature,16
60090,Programming,Computer Science,4
60090,Public Speaking,Communication,20
40875,Digital Marketing,Business,12
40875,Programming,Computer Science,18
40875,Public Speaking,Communication,12
40875,Web Development,Computer Science,10
40875,Problem Solving,Mathematics,15
78824,Project Management,Business,15
78824,Digital Marketing,Business,3
78824,Web Development,Computer Science,1
78824,Project Management,Business,4
51710,Programming,Computer Science,17
51710,Creative Writing,Literature,13
26165,Public Speaking,Communication,1
26165,Digital Marketing,Business,4
29923,Data Analysis,Statistics,6
3617,Web Development,Computer Science,4
3617,Programming,Computer Science,1
3617,Digital Marketing,Business,14
62803,Project Management,Business,18
62803,Graphic Design,Design,15
62803,Graphic Design,Design,0
62803,Programming,Computer Science,2
62803,Problem Solving,Mathematics,16
2418,Marketing,Business,18
2418,Graphic Design,Design,1
2418,Digital Marketing,Business,1
2418,Digital Marketing,Business,2
68169,Problem Solving,Mathematics,20
68169,Data Analysis,Statistics,10
68169,Data Analysis,Statistics,11
68169,Problem Solving,Mathematics,2
13748,Project Management,Business,10
10079,Graphic Design,Design,17
10079,Public Speaking,Communication,15
10079,Graphic Design,Design,9
10079,Programming,Computer Science,9
10079,Data Analysis,Statistics,8
26405,Digital Marketing,Business,14
26405,Data Analysis,Statistics,1
26405,Public Speaking,Communication,13
26405,Web Development,Computer Science,10
87239,Graphic Design,Design,0
62704,Problem Solving,Mathematics,6
62704,Project Management,Business,6
62704,Data Analysis,Statistics,9
23385,Marketing,Business,18
23385,Marketing,Business,11
23385,Web Development,Computer Science,4
23385,Public Speaking,Communication,2
23385,Programming,Computer Science,20
22620,Public Speaking,Communication,4
51678,Data Analysis,Statistics,16
7697,Graphic Design,Design,13
7697,Creative Writing,Literature,19
7697,Digital Marketing,Business,10
7697,Problem Solving,Mathematics,18
7697,Data Analysis,Statistics,1
64607,Graphic Design,Design,11
64607,Data Analysis,Statistics,18
64607,Public Speaking,Communication,1
47172,Digital Marketing,Business,2
47172,Public Speaking,Communication,12
47172,Web Development,Computer Science,8
58143,Web Development,Computer Science,2
58143,Digital Marketing,Business,4
58143,Problem Solving,Mathematics,17
86807,Web Development,Computer Science,18
86807,Digital Marketing,Business,8
63014,Digital Marketing,Business,10
63014,Marketing,Business,4
63014,Graphic Design,Design,5
63014,Programming,Computer Science,0
43461,Public Speaking,Communication,9
43461,Problem Solving,Mathematics,17
43461,Data Analysis,Statistics,17
43461,Digital Marketing,Business,11
43461,Marketing,Business,7
44043,Programming,Computer Science,6
44043,Creative Writing,Literature,13
89624,Problem Solving,Mathematics,11
89624,Web Development,Computer Science,6
66992,Web Development,Computer Science,0
66992,Creative Writing,Literature,8
66992,Project Management,Business,5
66992,Creative Writing,Literature,13
94556,Digital Marketing,Business,17
94556,Web Development,Computer Science,4
94556,Creative Writing,Literature,0
26030,Project Management,Business,7
26030,Marketing,Business,0
26030,Project Management,Business,8
97872,Public Speaking,Communication,6
97872,Data Analysis,Statistics,2
83365,Project Management,Business,13
83365,Creative Writing,Literature,7
83365,Public Speaking,Communication,19
8309,Programming,Computer Science,12
3003,Creative Writing,Literature,7
50055,Programming,Computer Science,8
50055,Data Analysis,Statistics,2
50055,Data Analysis,Statistics,11
50055,Project Management,Business,14
69711,Web Development,Computer Science,20
69711,Marketing,Business,16
69711,Public Speaking,Communication,7
69711,Digital Marketing,Business,14
44582,Programming,Computer Science,14
44582,Programming,Computer Science,20
44582,Marketing,Business,10
44582,Graphic Design,Design,13
97893,Problem Solving,Mathematics,4
82739,Problem Solving,Mathematics,20
16897,Problem Solving,Mathematics,20
16897,Public Speaking,Communication,13
16897,Programming,Computer Science,12
51855,Data Analysis,Statistics,18
39301,Digital Marketing,Business,10
39301,Creative Writing,Literature,13
39301,Graphic Design,Design,3
39301,Web Development,Computer Science,9
13914,Public Speaking,Communication,8
13914,Public Speaking,Communication,17
13914,Programming,Computer Science,6
13914,Marketing,Business,9
13914,Programming,Computer Science,4
62707,Web Development,Computer Science,5
62707,Marketing,Business,16
44672,Marketing,Business,15
44672,Data Analysis,Statistics,20
63866,Digital Marketing,Business,17
63866,Graphic Design,Design,19
63866,Creative Writing,Literature,1
7685,Data Analysis,Statistics,5
7685,Digital Marketing,Business,20
98684,Marketing,Business,0
98684,Programming,Computer Science,14
98684,Problem Solving,Mathematics,16
27671,Web Development,Computer Science,17
27671,Digital Marketing,Business,7
2820,Programming,Computer Science,16
2820,Project Management,Business,1
30883,Programming,Computer Science,5
76214,Public Speaking,Communication,4
13148,Project Management,Business,17
3228,Programming,Computer Science,14
3228,Project Management,Business,12
3228,Project Management,Business,10
29628,Public Speaking,Communication,16
29628,Data Analysis,Statistics,1
29628,Programming,Computer Science,5
28429,Data Analysis,Statistics,12
90375,Programming,Computer Science,6
90375,Marketing,Business,19
90375,Public Speaking,Communication,12
90375,Public Speaking,Communication,15
90375,Project Management,Business,18
474,Problem Solving,Mathematics,10
474,Digital Marketing,Business,14
474,Graphic Design,Design,4
72277,Creative Writing,Literature,13
72277,Data Analysis,Statistics,3
72277,Graphic Design,Design,6
72277,Digital Marketing,Business,9
72277,Marketing,Business,14
78983,Web Development,Computer Science,15
78983,Problem Solving,Mathematics,0
78983,Creative Writing,Literature,9
80519,Marketing,Business,12
80519,Public Speaking,Communication,2
80519,Project Management,Business,7
80519,Public Speaking,Communication,0
67649,Digital Marketing,Business,2
17936,Creative Writing,Literature,3
17936,Web Development,Computer Science,13
14531,Problem Solving,Mathematics,2
14531,Public Speaking,Communication,10
14531,Problem Solving,Mathematics,12
14531,Web Development,Computer Science,16
14531,Web Development,Computer Science,7
49612,Marketing,Business,7
49612,Public Speaking,Communication,0
49612,Project Management,Business,8
49612,Project Management,Business,2
49195,Graphic Design,Design,11
9891,Digital Marketing,Business,20
9891,Creative Writing,Literature,4
18765,Creative Writing,Literature,13
18765,Marketing,Business,11
18765,Problem Solving,Mathematics,11
30614,Project Management,Business,10
30614,Programming,Computer Science,3
6262,Creative Writing,Literature,0
6262,Graphic Design,Design,16
6262,Marketing,Business,3
36215,Digital Marketing,Business,5
36215,Public Speaking,Communication,2
36215,Graphic Design,Design,7
36215,Digital Marketing,Business,9
91,Web Development,Computer Science,0
16081,Digital Marketing,Business,17
16081,Programming,Computer Science,3
16081,Creative Writing,Literature,8
16081,Data Analysis,Statistics,15
16081,Graphic Design,Design,12
29884,Public Speaking,Communication,0
29884,Marketing,Business,17
29884,Graphic Design,Design,16
29884,Programming,Computer Science,1
29884,Project Management,Business,9
47722,Web Development,Computer Science,1
89332,Programming,Computer Science,8
89332,Data Analysis,Statistics,13
89332,Public Speaking,Communication,7
89332,Digital Marketing,Business,15
48721,Data Analysis,Statistics,17
48721,Marketing,Business,7
48721,Problem Solving,Mathematics,15
48721,Graphic Design,Design,7
97386,Project Management,Business,13
97386,Web Development,Computer Science,15
97386,Data Analysis,Statistics,1
97386,Creative Writing,Literature,13
47066,Digital Marketing,Business,10
47066,Marketing,Business,12
47066,Web Development,Computer Science,3
47066,Data Analysis,Statistics,18
46099,Problem Solving,Mathematics,16
8862,Public Speaking,Communication,1
71870,Marketing,Business,5
71870,Programming,Computer Science,11
71870,Programming,Computer Science,14
5949,Graphic Design,Design,11
5949,Problem Solving,Mathematics,11
5949,Public Speaking,Communication,12
5949,Programming,Computer Science,10
5949,Creative Writing,Literature,20
34053,Project Management,Business,17
28110,Web Development,Computer Science,15
12812,Data Analysis,Statistics,4
12812,Web Development,Computer Science,6
65304,Problem Solving,Mathematics,1
65304,Creative Writing,Literature,17
65304,Marketing,Business,16
92882,Data Analysis,Statistics,15
92882,Data Analysis,Statistics,4
63951,Project Management,Business,10
63951,Creative Writing,Literature,13
63951,Public Speaking,Communication,7
51431,Data Analysis,Statistics,17
51431,Graphic Design,Design,3
54361,Public Speaking,Communication,0
54361,Programming,Computer Science,17
54361,Project Management,Business,6
54361,Programming,Computer Science,5
54361,Web Development,Computer Science,13
71346,Data Analysis,Statistics,17
80996,Problem Solving,Mathematics,2
80996,Creative Writing,Literature,0
80996,Public Speaking,Communication,9
80996,Digital Marketing,Business,14
94560,Problem Solving,Mathematics,0
68964,Marketing,Business,14
