JS_ID,Year,Proficiency,Domain
66125,2007,Data Analysis,Statistics
73223,2003,Digital Marketing,Business
73223,2003,Project Management,Business
73223,2003,Programming,Computer Science
19138,1989,Project Management,Business
19138,2014,Graphic Design,Design
19138,2014,Digital Marketing,Business
19138,2014,Problem Solving,Mathematics
19138,2014,Public Speaking,Communication
19138,2014,Project Management,Business
19138,2006,Creative Writing,Literature
19138,2006,Marketing,Business
19138,2006,Project Management,Business
19138,2006,Programming,Computer Science
19138,2008,Marketing,Business
19138,2008,Creative Writing,Literature
73490,2022,Web Development,Computer Science
73490,2022,Data Analysis,Statistics
73490,2022,Digital Marketing,Business
73490,2022,Project Management,Business
73490,1991,Problem Solving,Mathematics
73490,2009,Marketing,Business
73490,2009,Project Management,Business
31995,2009,Web Development,Computer Science
31995,2009,Digital Marketing,Business
31995,2009,Programming,Computer Science
31995,2003,Creative Writing,Literature
41057,1986,Creative Writing,Literature
41057,1986,Public Speaking,Communication
41057,2021,Web Development,Computer Science
41057,2021,Data Analysis,Statistics
41057,2015,Marketing,Business
50278,1989,Digital Marketing,Business
5576,1993,Creative Writing,Literature
5576,1993,Problem Solving,Mathematics
5576,1993,Digital Marketing,Business
5576,1996,Web Development,Computer Science
5576,1996,Marketing,Business
5576,1996,Programming,Computer Science
5576,1996,Problem Solving,Mathematics
5576,2002,Web Development,Computer Science
5576,2002,Graphic Design,Design
5576,2002,Digital Marketing,Business
5576,2002,Public Speaking,Communication
38805,1982,Data Analysis,Statistics
38805,1982,Project Management,Business
38805,2013,Web Development,Computer Science
38805,2013,Public Speaking,Communication
38805,1991,Marketing,Business
38805,1991,Creative Writing,Literature
38805,1991,Web Development,Computer Science
38805,1991,Graphic Design,Design
38805,1991,Digital Marketing,Business
87647,1987,Digital Marketing,Business
87647,1987,Project Management,Business
87647,1987,Programming,Computer Science
52795,2018,Problem Solving,Mathematics
52795,2018,Digital Marketing,Business
52795,2018,Programming,Computer Science
52795,2018,Graphic Design,Design
52795,2013,Problem Solving,Mathematics
52795,2013,Data Analysis,Statistics
52795,2013,Graphic Design,Design
52795,2022,Problem Solving,Mathematics
52795,2022,Creative Writing,Literature
52795,2022,Programming,Computer Science
52795,2020,Marketing,Business
52795,2020,Creative Writing,Literature
52795,1997,Public Speaking,Communication
52795,1997,Programming,Computer Science
52201,2014,Graphic Design,Design
52201,1998,Marketing,Business
52201,1998,Programming,Computer Science
52968,2009,Creative Writing,Literature
52968,2009,Project Management,Business
52968,2009,Data Analysis,Statistics
52968,1992,Problem Solving,Mathematics
52968,1992,Project Management,Business
52968,1992,Programming,Computer Science
52968,1992,Graphic Design,Design
52968,2010,Programming,Computer Science
52968,2014,Creative Writing,Literature
52968,2014,Graphic Design,Design
52968,2019,Marketing,Business
52968,2019,Graphic Design,Design
52968,2019,Digital Marketing,Business
52968,2019,Data Analysis,Statistics
52968,2019,Project Management,Business
72158,2016,Public Speaking,Communication
72158,2016,Project Management,Business
72158,2016,Programming,Computer Science
72158,2015,Web Development,Computer Science
72158,2015,Public Speaking,Communication
51644,2014,Digital Marketing,Business
51644,2014,Data Analysis,Statistics
51644,2014,Project Management,Business
51644,2014,Public Speaking,Communication
51644,1989,Marketing,Business
51644,1989,Problem Solving,Mathematics
51644,1989,Public Speaking,Communication
51644,1989,Data Analysis,Statistics
51644,2007,Creative Writing,Literature
51644,2007,Public Speaking,Communication
51644,2007,Project Management,Business
51644,2007,Digital Marketing,Business
51644,1999,Marketing,Business
51644,1999,Creative Writing,Literature
51644,1999,Digital Marketing,Business
51644,1999,Problem Solving,Mathematics
51644,1999,Project Management,Business
34226,1991,Creative Writing,Literature
34226,1991,Graphic Design,Design
34226,1991,Data Analysis,Statistics
65162,1984,Graphic Design,Design
65162,1984,Digital Marketing,Business
65162,1992,Marketing,Business
65162,1992,Creative Writing,Literature
65162,1992,Programming,Computer Science
65162,1982,Marketing,Business
65162,1982,Public Speaking,Communication
65162,1982,Web Development,Computer Science
65162,1982,Graphic Design,Design
65162,1996,Problem Solving,Mathematics
65162,1996,Marketing,Business
65162,1996,Digital Marketing,Business
65162,1996,Public Speaking,Communication
75028,2003,Project Management,Business
75028,2003,Web Development,Computer Science
75028,2003,Digital Marketing,Business
75028,2003,Problem Solving,Mathematics
75028,2003,Programming,Computer Science
75028,2003,Project Management,Business
61384,1994,Creative Writing,Literature
61384,1994,Problem Solving,Mathematics
61384,1994,Data Analysis,Statistics
25265,1986,Marketing,Business
25265,1986,Creative Writing,Literature
25265,1986,Public Speaking,Communication
25265,1996,Project Management,Business
25265,1996,Programming,Computer Science
25265,2009,Problem Solving,Mathematics
25265,2016,Creative Writing,Literature
25265,2016,Project Management,Business
25265,2016,Digital Marketing,Business
36979,2005,Graphic Design,Design
36979,2018,Marketing,Business
36979,2018,Public Speaking,Communication
36979,2018,Data Analysis,Statistics
3344,2018,Project Management,Business
3344,2018,Programming,Computer Science
3344,2011,Creative Writing,Literature
3344,2011,Project Management,Business
3344,2011,Public Speaking,Communication
3344,2011,Digital Marketing,Business
3344,2015,Problem Solving,Mathematics
3344,2015,Public Speaking,Communication
3344,2015,Digital Marketing,Business
3344,1990,Project Management,Business
3344,1990,Programming,Computer Science
12704,2008,Marketing,Business
12704,2008,Creative Writing,Literature
12704,2008,Problem Solving,Mathematics
12704,2008,Public Speaking,Communication
12704,2008,Project Management,Business
12704,1982,Marketing,Business
12704,1982,Digital Marketing,Business
12704,1982,Programming,Computer Science
12704,2021,Graphic Design,Design
12704,2021,Project Management,Business
12704,2000,Problem Solving,Mathematics
67648,2007,Creative Writing,Literature
67648,2007,Digital Marketing,Business
67648,2007,Data Analysis,Statistics
67648,1982,Marketing,Business
67648,1982,Project Management,Business
67648,1982,Digital Marketing,Business
67648,1982,Data Analysis,Statistics
67648,2010,Problem Solving,Mathematics
67648,2010,Project Management,Business
67648,2008,Problem Solving,Mathematics
67648,2008,Web Development,Computer Science
67648,2008,Data Analysis,Statistics
67648,2008,Digital Marketing,Business
67648,2000,Graphic Design,Design
48119,2008,Creative Writing,Literature
48119,2008,Programming,Computer Science
50658,1983,Marketing,Business
50658,1983,Problem Solving,Mathematics
50658,1983,Creative Writing,Literature
83477,1996,Creative Writing,Literature
83477,1980,Public Speaking,Communication
83477,1980,Project Management,Business
83477,1980,Programming,Computer Science
31181,1981,Marketing,Business
31181,1981,Web Development,Computer Science
31181,1981,Project Management,Business
31181,1981,Digital Marketing,Business
68447,2012,Digital Marketing,Business
68447,2012,Programming,Computer Science
8709,2007,Web Development,Computer Science
8709,2007,Public Speaking,Communication
8709,2007,Graphic Design,Design
88725,1982,Creative Writing,Literature
88725,1982,Data Analysis,Statistics
88725,1982,Digital Marketing,Business
88725,1982,Programming,Computer Science
88725,2009,Creative Writing,Literature
88725,2009,Problem Solving,Mathematics
88725,2009,Data Analysis,Statistics
22734,2004,Graphic Design,Design
22734,1998,Problem Solving,Mathematics
22734,1998,Data Analysis,Statistics
22734,1998,Public Speaking,Communication
22734,1998,Graphic Design,Design
22734,2013,Creative Writing,Literature
22734,2013,Problem Solving,Mathematics
22734,2013,Project Management,Business
22734,2013,Programming,Computer Science
42031,1988,Creative Writing,Literature
42031,1988,Data Analysis,Statistics
42031,2003,Digital Marketing,Business
42031,1983,Problem Solving,Mathematics
42031,1983,Creative Writing,Literature
42031,1983,Digital Marketing,Business
42031,1983,Programming,Computer Science
42031,2016,Creative Writing,Literature
42031,2016,Web Development,Computer Science
42031,2016,Digital Marketing,Business
42031,2021,Data Analysis,Statistics
74147,2010,Marketing,Business
74147,2010,Data Analysis,Statistics
74147,2010,Public Speaking,Communication
76723,1999,Programming,Computer Science
23467,2012,Project Management,Business
23467,2012,Public Speaking,Communication
23467,2012,Programming,Computer Science
23467,1983,Creative Writing,Literature
23467,1983,Public Speaking,Communication
23467,2007,Creative Writing,Literature
23467,2007,Graphic Design,Design
23467,2007,Digital Marketing,Business
23467,2007,Problem Solving,Mathematics
23467,2007,Project Management,Business
23467,2006,Marketing,Business
23467,2006,Graphic Design,Design
23467,2006,Data Analysis,Statistics
23467,2006,Project Management,Business
23467,1981,Marketing,Business
23467,1981,Creative Writing,Literature
23467,1981,Data Analysis,Statistics
23467,1981,Graphic Design,Design
35455,2009,Problem Solving,Mathematics
35455,2009,Programming,Computer Science
35455,2008,Problem Solving,Mathematics
35455,2008,Graphic Design,Design
35455,2015,Problem Solving,Mathematics
35455,2015,Graphic Design,Design
35455,2015,Web Development,Computer Science
35455,2015,Programming,Computer Science
35455,2001,Marketing,Business
35455,2001,Digital Marketing,Business
35455,1984,Creative Writing,Literature
35455,1984,Digital Marketing,Business
48790,2014,Project Management,Business
48790,2017,Marketing,Business
48790,2017,Creative Writing,Literature
48790,2017,Digital Marketing,Business
48790,2017,Data Analysis,Statistics
48790,2017,Public Speaking,Communication
48790,2019,Data Analysis,Statistics
48790,2009,Problem Solving,Mathematics
48790,2009,Marketing,Business
48790,2009,Public Speaking,Communication
78805,1994,Web Development,Computer Science
78805,1994,Digital Marketing,Business
78805,2018,Problem Solving,Mathematics
78805,2018,Web Development,Computer Science
78805,2018,Public Speaking,Communication
78805,1988,Problem Solving,Mathematics
78805,1988,Creative Writing,Literature
78805,2006,Marketing,Business
78805,2006,Creative Writing,Literature
78805,2006,Data Analysis,Statistics
78805,2006,Web Development,Computer Science
76185,1986,Marketing,Business
76185,1986,Project Management,Business
33073,1999,Marketing,Business
33073,1999,Creative Writing,Literature
33073,1999,Project Management,Business
33073,1999,Public Speaking,Communication
33073,1999,Programming,Computer Science
33073,1983,Problem Solving,Mathematics
33073,1983,Public Speaking,Communication
88192,2009,Marketing,Business
88192,2009,Creative Writing,Literature
88192,2009,Data Analysis,Statistics
88192,2009,Digital Marketing,Business
88192,2007,Creative Writing,Literature
88192,2007,Marketing,Business
88192,2007,Project Management,Business
88192,2007,Programming,Computer Science
88192,1994,Graphic Design,Design
88192,1994,Web Development,Computer Science
88192,1996,Web Development,Computer Science
88192,1996,Graphic Design,Design
58132,1988,Problem Solving,Mathematics
58132,1988,Digital Marketing,Business
58132,1988,Graphic Design,Design
58132,1989,Marketing,Business
58132,1989,Creative Writing,Literature
58132,1998,Project Management,Business
58132,2012,Creative Writing,Literature
58132,2012,Digital Marketing,Business
58132,2012,Data Analysis,Statistics
45570,1994,Creative Writing,Literature
45570,1994,Problem Solving,Mathematics
45570,1994,Project Management,Business
45570,1994,Marketing,Business
45570,2016,Creative Writing,Literature
45570,2016,Web Development,Computer Science
45570,2010,Marketing,Business
45570,2010,Graphic Design,Design
45570,2010,Project Management,Business
45570,2012,Marketing,Business
45570,2012,Web Development,Computer Science
45570,2012,Digital Marketing,Business
21156,1999,Digital Marketing,Business
21156,1999,Data Analysis,Statistics
89993,1981,Problem Solving,Mathematics
89993,1981,Graphic Design,Design
89993,1981,Data Analysis,Statistics
89993,1981,Marketing,Business
89993,1987,Problem Solving,Mathematics
89993,1987,Digital Marketing,Business
89993,2017,Data Analysis,Statistics
54172,1991,Digital Marketing,Business
54172,2003,Problem Solving,Mathematics
54172,2003,Data Analysis,Statistics
54172,1983,Graphic Design,Design
54172,1983,Project Management,Business
87424,2004,Marketing,Business
87424,2004,Project Management,Business
87424,1987,Web Development,Computer Science
87424,1987,Public Speaking,Communication
87424,1987,Graphic Design,Design
8691,1982,Public Speaking,Communication
8691,1982,Programming,Computer Science
8691,1988,Programming,Computer Science
22622,2005,Problem Solving,Mathematics
22622,2005,Data Analysis,Statistics
22622,2015,Web Development,Computer Science
90659,1994,Creative Writing,Literature
90659,1994,Digital Marketing,Business
90659,1994,Programming,Computer Science
90659,1987,Marketing,Business
90659,1987,Digital Marketing,Business
90659,1987,Data Analysis,Statistics
90659,1987,Public Speaking,Communication
90659,1987,Project Management,Business
24617,2001,Creative Writing,Literature
24617,2001,Marketing,Business
24617,2001,Data Analysis,Statistics
24617,1980,Graphic Design,Design
24617,1980,Project Management,Business
24617,1980,Programming,Computer Science
24617,1988,Public Speaking,Communication
24617,1988,Programming,Computer Science
24617,2002,Public Speaking,Communication
24617,2014,Graphic Design,Design
24617,2014,Digital Marketing,Business
24617,2014,Data Analysis,Statistics
24617,2014,Programming,Computer Science
24617,2014,Project Management,Business
32204,2022,Creative Writing,Literature
32204,2022,Digital Marketing,Business
32204,2022,Web Development,Computer Science
32204,2022,Programming,Computer Science
91543,2010,Web Development,Computer Science
91543,2016,Creative Writing,Literature
91543,2016,Marketing,Business
91543,2016,Public Speaking,Communication
91543,2016,Programming,Computer Science
91543,2000,Marketing,Business
91543,2000,Graphic Design,Design
91543,2000,Public Speaking,Communication
91543,2000,Programming,Computer Science
91543,1995,Web Development,Computer Science
91543,1995,Project Management,Business
91543,1995,Public Speaking,Communication
79238,2019,Marketing,Business
79238,2019,Digital Marketing,Business
86893,2009,Marketing,Business
86893,1992,Creative Writing,Literature
86893,1992,Web Development,Computer Science
86893,1992,Data Analysis,Statistics
90732,2008,Web Development,Computer Science
90732,1999,Problem Solving,Mathematics
90732,1999,Marketing,Business
90732,1999,Project Management,Business
13012,1994,Problem Solving,Mathematics
13012,1994,Project Management,Business
13012,1994,Digital Marketing,Business
13012,1994,Programming,Computer Science
13012,1990,Marketing,Business
13012,1990,Creative Writing,Literature
13012,1990,Public Speaking,Communication
32800,1999,Problem Solving,Mathematics
32800,1999,Programming,Computer Science
32800,2016,Web Development,Computer Science
32800,2007,Marketing,Business
32800,2010,Creative Writing,Literature
32800,2010,Project Management,Business
32800,2010,Digital Marketing,Business
32800,2010,Programming,Computer Science
82785,2020,Data Analysis,Statistics
55267,2013,Creative Writing,Literature
55267,2012,Web Development,Computer Science
55267,2012,Graphic Design,Design
55267,2012,Digital Marketing,Business
55267,2001,Creative Writing,Literature
55267,2001,Public Speaking,Communication
55267,2001,Project Management,Business
30818,1989,Marketing,Business
30818,1989,Graphic Design,Design
20868,1985,Web Development,Computer Science
20868,1985,Graphic Design,Design
20868,1985,Programming,Computer Science
20868,2021,Creative Writing,Literature
20868,2021,Web Development,Computer Science
20868,2021,Programming,Computer Science
20868,2011,Problem Solving,Mathematics
20868,2011,Data Analysis,Statistics
37222,2016,Problem Solving,Mathematics
37222,2016,Data Analysis,Statistics
37222,2016,Public Speaking,Communication
37222,2016,Programming,Computer Science
37222,2015,Digital Marketing,Business
37222,2015,Data Analysis,Statistics
37222,2015,Programming,Computer Science
37222,2003,Marketing,Business
37222,2009,Problem Solving,Mathematics
37222,2009,Data Analysis,Statistics
37222,1997,Problem Solving,Mathematics
37222,1997,Marketing,Business
37222,1997,Data Analysis,Statistics
37222,1997,Creative Writing,Literature
39049,2011,Web Development,Computer Science
39049,2011,Problem Solving,Mathematics
39049,2011,Public Speaking,Communication
39049,2009,Web Development,Computer Science
39049,2009,Data Analysis,Statistics
39049,2009,Digital Marketing,Business
39049,2008,Web Development,Computer Science
39049,2008,Graphic Design,Design
39049,2008,Project Management,Business
39049,2002,Web Development,Computer Science
39049,2002,Data Analysis,Statistics
39049,2002,Project Management,Business
39049,2002,Programming,Computer Science
39049,2008,Problem Solving,Mathematics
39049,2008,Graphic Design,Design
39049,2008,Programming,Computer Science
57931,2020,Creative Writing,Literature
57931,2020,Project Management,Business
57931,2020,Graphic Design,Design
57931,2015,Public Speaking,Communication
57931,2015,Programming,Computer Science
7450,1987,Programming,Computer Science
7450,1982,Marketing,Business
7450,1982,Web Development,Computer Science
7450,1982,Digital Marketing,Business
7450,1992,Marketing,Business
7450,1992,Graphic Design,Design
7450,1992,Creative Writing,Literature
85633,2020,Programming,Computer Science
85633,2014,Problem Solving,Mathematics
85633,2014,Graphic Design,Design
85633,2007,Creative Writing,Literature
85633,2007,Project Management,Business
85633,2007,Graphic Design,Design
85633,2021,Data Analysis,Statistics
24388,1998,Project Management,Business
24388,1998,Programming,Computer Science
24388,2021,Marketing,Business
24388,2021,Project Management,Business
24388,2021,Graphic Design,Design
94261,1999,Graphic Design,Design
94261,1999,Data Analysis,Statistics
94261,1999,Project Management,Business
94261,1999,Public Speaking,Communication
94261,2009,Marketing,Business
94261,2009,Web Development,Computer Science
94261,2009,Creative Writing,Literature
94261,2009,Problem Solving,Mathematics
94261,2009,Public Speaking,Communication
94261,1990,Problem Solving,Mathematics
94261,1984,Marketing,Business
94261,1984,Programming,Computer Science
69888,2015,Creative Writing,Literature
69888,2015,Problem Solving,Mathematics
69888,2015,Project Management,Business
69888,2015,Digital Marketing,Business
69888,2018,Problem Solving,Mathematics
69888,2002,Problem Solving,Mathematics
69888,2002,Web Development,Computer Science
69888,1987,Problem Solving,Mathematics
69888,1987,Graphic Design,Design
69888,2013,Programming,Computer Science
42201,1984,Project Management,Business
42201,2011,Digital Marketing,Business
42201,2011,Public Speaking,Communication
42201,2009,Data Analysis,Statistics
42201,2009,Project Management,Business
42201,1999,Marketing,Business
6596,1980,Problem Solving,Mathematics
6596,1980,Web Development,Computer Science
6596,1980,Digital Marketing,Business
6596,1980,Programming,Computer Science
6596,2015,Marketing,Business
58541,2021,Creative Writing,Literature
58541,2021,Web Development,Computer Science
58541,2021,Public Speaking,Communication
58541,2021,Graphic Design,Design
58541,1986,Creative Writing,Literature
58541,1986,Data Analysis,Statistics
58541,1986,Project Management,Business
58541,1986,Graphic Design,Design
57858,1989,Creative Writing,Literature
57858,1989,Marketing,Business
57858,2010,Graphic Design,Design
57858,2010,Data Analysis,Statistics
57858,2015,Web Development,Computer Science
57858,2015,Public Speaking,Communication
57858,2015,Graphic Design,Design
40886,1985,Web Development,Computer Science
40886,1985,Programming,Computer Science
40886,2019,Problem Solving,Mathematics
40886,1995,Marketing,Business
40886,1995,Project Management,Business
81961,1994,Digital Marketing,Business
98323,2007,Creative Writing,Literature
98323,2008,Web Development,Computer Science
98323,2008,Project Management,Business
98323,2008,Public Speaking,Communication
98323,2008,Data Analysis,Statistics
98323,2019,Project Management,Business
97840,2005,Marketing,Business
97840,2005,Creative Writing,Literature
97840,2005,Public Speaking,Communication
97840,1987,Graphic Design,Design
97840,1987,Project Management,Business
97840,1987,Public Speaking,Communication
97840,1987,Digital Marketing,Business
97840,2008,Problem Solving,Mathematics
97840,2008,Web Development,Computer Science
97840,2008,Project Management,Business
97840,2008,Digital Marketing,Business
97840,1983,Data Analysis,Statistics
64610,2007,Creative Writing,Literature
64610,2007,Graphic Design,Design
64610,1994,Data Analysis,Statistics
64610,1994,Programming,Computer Science
64610,2011,Problem Solving,Mathematics
64610,2011,Data Analysis,Statistics
64610,1996,Programming,Computer Science
2935,1984,Marketing,Business
2935,1984,Creative Writing,Literature
2935,1984,Data Analysis,Statistics
2935,1984,Programming,Computer Science
2935,1984,Project Management,Business
2935,2001,Creative Writing,Literature
2935,2001,Public Speaking,Communication
2935,2001,Programming,Computer Science
2935,1986,Creative Writing,Literature
2935,1986,Problem Solving,Mathematics
2935,1986,Public Speaking,Communication
2935,1986,Graphic Design,Design
4684,1988,Creative Writing,Literature
4684,1988,Project Management,Business
4684,1992,Creative Writing,Literature
68264,2019,Creative Writing,Literature
68264,2019,Problem Solving,Mathematics
68264,2019,Web Development,Computer Science
68264,2019,Marketing,Business
68264,2021,Web Development,Computer Science
68264,2021,Graphic Design,Design
68264,2021,Programming,Computer Science
68264,1995,Marketing,Business
68264,1995,Project Management,Business
68264,1995,Data Analysis,Statistics
68264,1995,Programming,Computer Science
95670,2012,Creative Writing,Literature
95670,2012,Digital Marketing,Business
95670,2012,Project Management,Business
95670,1997,Marketing,Business
95670,1997,Web Development,Computer Science
95670,1997,Project Management,Business
95670,1999,Web Development,Computer Science
95670,1980,Problem Solving,Mathematics
63078,2006,Creative Writing,Literature
63078,2006,Public Speaking,Communication
63078,2006,Creative Writing,Literature
63078,2006,Graphic Design,Design
63078,2006,Data Analysis,Statistics
63078,1982,Project Management,Business
63078,1982,Public Speaking,Communication
63078,1982,Programming,Computer Science
63078,2018,Creative Writing,Literature
63078,2018,Problem Solving,Mathematics
63078,2018,Data Analysis,Statistics
63078,1989,Marketing,Business
35486,2005,Problem Solving,Mathematics
35486,2005,Digital Marketing,Business
35486,2005,Project Management,Business
35486,2005,Programming,Computer Science
6246,1987,Marketing,Business
6246,1987,Graphic Design,Design
6246,1987,Public Speaking,Communication
6246,1987,Problem Solving,Mathematics
6246,1998,Problem Solving,Mathematics
6246,1998,Graphic Design,Design
6246,1998,Data Analysis,Statistics
6246,1981,Creative Writing,Literature
6246,1981,Problem Solving,Mathematics
6246,1981,Digital Marketing,Business
6246,1991,Data Analysis,Statistics
78271,2009,Marketing,Business
78271,2009,Web Development,Computer Science
78271,2009,Creative Writing,Literature
78271,2009,Problem Solving,Mathematics
78271,2009,Data Analysis,Statistics
78271,1996,Problem Solving,Mathematics
78271,1996,Graphic Design,Design
78271,1996,Project Management,Business
78271,1996,Creative Writing,Literature
10918,1984,Web Development,Computer Science
10918,1984,Public Speaking,Communication
10918,1984,Data Analysis,Statistics
10918,2007,Creative Writing,Literature
10918,2007,Public Speaking,Communication
10918,2007,Project Management,Business
10918,2021,Graphic Design,Design
10918,1989,Data Analysis,Statistics
3513,1995,Creative Writing,Literature
3513,2022,Marketing,Business
3513,2022,Public Speaking,Communication
3513,2022,Graphic Design,Design
3513,1994,Web Development,Computer Science
3513,1994,Graphic Design,Design
3513,1994,Data Analysis,Statistics
3513,1994,Project Management,Business
11387,1993,Digital Marketing,Business
11387,1993,Data Analysis,Statistics
11387,1993,Graphic Design,Design
11387,2014,Creative Writing,Literature
11387,2014,Marketing,Business
11387,2014,Public Speaking,Communication
11387,2021,Graphic Design,Design
11387,2021,Digital Marketing,Business
11387,2021,Problem Solving,Mathematics
11387,2021,Programming,Computer Science
11387,2021,Project Management,Business
11387,1984,Digital Marketing,Business
11387,1984,Project Management,Business
11387,1984,Programming,Computer Science
97419,2009,Marketing,Business
97419,2009,Creative Writing,Literature
97419,2009,Public Speaking,Communication
97419,2006,Programming,Computer Science
97419,2015,Problem Solving,Mathematics
17790,2019,Marketing,Business
17790,2019,Creative Writing,Literature
17790,2019,Graphic Design,Design
17790,2019,Problem Solving,Mathematics
17790,2019,Programming,Computer Science
17790,1993,Marketing,Business
17790,1993,Creative Writing,Literature
17790,1993,Public Speaking,Communication
23876,2018,Graphic Design,Design
23876,1984,Problem Solving,Mathematics
23876,1984,Digital Marketing,Business
23876,1988,Project Management,Business
64733,2003,Marketing,Business
64733,2003,Problem Solving,Mathematics
64733,2003,Public Speaking,Communication
64733,2003,Programming,Computer Science
64733,1998,Creative Writing,Literature
64733,1998,Public Speaking,Communication
64733,1998,Digital Marketing,Business
64733,1998,Graphic Design,Design
64733,2015,Web Development,Computer Science
64733,2015,Marketing,Business
64733,2015,Project Management,Business
64733,2015,Graphic Design,Design
64733,1989,Marketing,Business
64733,1989,Web Development,Computer Science
92339,1987,Creative Writing,Literature
92339,1987,Data Analysis,Statistics
92339,1987,Graphic Design,Design
92339,1984,Marketing,Business
92339,1984,Web Development,Computer Science
92339,1984,Graphic Design,Design
92339,1984,Public Speaking,Communication
92339,1984,Programming,Computer Science
62099,1988,Digital Marketing,Business
62099,1988,Data Analysis,Statistics
62099,2009,Problem Solving,Mathematics
62099,2009,Public Speaking,Communication
62099,1990,Marketing,Business
62099,1990,Data Analysis,Statistics
62099,1990,Digital Marketing,Business
62099,1990,Programming,Computer Science
62099,2000,Marketing,Business
62099,2000,Digital Marketing,Business
52534,2015,Web Development,Computer Science
52534,2015,Creative Writing,Literature
52534,2015,Problem Solving,Mathematics
52534,2015,Data Analysis,Statistics
52534,2015,Project Management,Business
52534,2005,Web Development,Computer Science
52534,2015,Creative Writing,Literature
52534,2015,Problem Solving,Mathematics
52534,2015,Graphic Design,Design
52534,2015,Marketing,Business
91142,1996,Creative Writing,Literature
91142,1996,Marketing,Business
91142,1996,Digital Marketing,Business
91142,1990,Marketing,Business
91142,1990,Problem Solving,Mathematics
91142,1990,Programming,Computer Science
72672,1998,Programming,Computer Science
72672,1994,Marketing,Business
72672,1994,Web Development,Computer Science
72672,1980,Problem Solving,Mathematics
72672,1980,Public Speaking,Communication
72672,1980,Programming,Computer Science
62344,1986,Web Development,Computer Science
62344,1999,Marketing,Business
62344,1999,Programming,Computer Science
62344,2008,Marketing,Business
62344,2008,Digital Marketing,Business
62344,2018,Marketing,Business
62344,2018,Digital Marketing,Business
62344,2018,Project Management,Business
62344,1988,Project Management,Business
69957,2005,Marketing,Business
69957,2005,Problem Solving,Mathematics
69957,2005,Web Development,Computer Science
69957,1995,Web Development,Computer Science
69957,1995,Data Analysis,Statistics
69957,1995,Programming,Computer Science
69957,2008,Marketing,Business
69957,2008,Public Speaking,Communication
69957,2008,Programming,Computer Science
69957,2018,Marketing,Business
69957,2016,Web Development,Computer Science
69957,2016,Graphic Design,Design
69957,2016,Programming,Computer Science
66690,1997,Problem Solving,Mathematics
66690,1997,Public Speaking,Communication
66690,1989,Web Development,Computer Science
66690,1989,Problem Solving,Mathematics
66690,1989,Data Analysis,Statistics
66690,1989,Public Speaking,Communication
66690,2020,Creative Writing,Literature
66690,2020,Programming,Computer Science
78000,2012,Project Management,Business
78000,1989,Graphic Design,Design
78000,1989,Data Analysis,Statistics
78000,1989,Digital Marketing,Business
73305,2002,Creative Writing,Literature
73305,2002,Web Development,Computer Science
73305,2002,Public Speaking,Communication
73305,2002,Digital Marketing,Business
73305,2000,Web Development,Computer Science
