Job_ID,Role,Salary,Location,Type,Status,Company_ID
17253,Business Development Executive,9213800,"Riyadh, Saudi Arabia",job_type.onsite_part_time,job_status.vacant,43152
99710,Digital Content Creator,9883100,"Tel Aviv, Israel",job_type.onsite_full_time,job_status.vacant,65906
11003,Corporate Trainer,4778100,"Copenhagen, Denmark",job_type.onsite_part_time,job_status.vacant,51383
12361,Sales Manager,9367200,"Scottsdale, USA",job_type.remote_part_time,job_status.vacant,33424
79668,Web Developer,5749700,"Bologna, Italy",job_type.remote_part_time,job_status.vacant,61419
53643,Software Engineer,1054800,"San Jose, USA",job_type.remote_part_time,job_status.vacant,39178
32818,Investment Analyst,4566500,"Buffalo, USA",job_type.remote_part_time,job_status.vacant,74121
28680,Physical Therapy Assistant,4508800,"Madrid, Spain",job_type.onsite_full_time,job_status.vacant,11273
57372,Lawyer,6759000,"St. Louis, USA",job_type.remote_full_time,job_status.vacant,74121
695,Technical Support Engineer,3508700,"Dublin, Ireland",job_type.remote_part_time,job_status.vacant,76953
6420,Operations Coordinator,509500,"Dallas, USA",job_type.remote_part_time,job_status.vacant,86112
25155,Financial Auditor,5217200,"Detroit, USA",job_type.remote_part_time,job_status.vacant,21714
37605,Biomedical Engineer,2341700,"Baltimore, USA",job_type.remote_full_time,job_status.vacant,48947
74649,IT Project Manager,2659700,"Durham, USA",job_type.remote_full_time,job_status.vacant,14519
96311,Occupational Health and Safety Specialist,5011500,"Cairo, Egypt",job_type.onsite_part_time,job_status.vacant,10576
29838,Data Entry Specialist,2728600,"Riverside, USA",job_type.onsite_full_time,job_status.vacant,86112
37711,UI/UX Developer,3057600,"Chengdu, China",job_type.onsite_part_time,job_status.vacant,51056
43561,Data Analyst,4767400,"Washington D.C., USA",job_type.remote_full_time,job_status.vacant,44043
65887,Sales Manager,6754700,"Krakow, Poland",job_type.onsite_part_time,job_status.vacant,69992
15989,Environmental Engineer,3210100,"Boston, USA",job_type.onsite_full_time,job_status.vacant,75639
91845,Business Systems Analyst,4482700,"Hyderabad, India",job_type.onsite_part_time,job_status.vacant,87206
63867,Financial Auditor,5537400,"Columbus, USA",job_type.onsite_part_time,job_status.vacant,11153
29759,IT Specialist,5461300,"San Antonio, USA",job_type.onsite_part_time,job_status.vacant,5807
14613,Public Relations Manager,1877100,"Irvine, USA",job_type.onsite_full_time,job_status.vacant,28350
49558,Tax Accountant,5096100,"Minneapolis, USA",job_type.onsite_part_time,job_status.vacant,64293
88731,Insurance Claims Adjuster,9096700,"Des Moines, USA",job_type.remote_part_time,job_status.vacant,96978
40029,Brand Strategist,6612200,"Tulsa, USA",job_type.onsite_full_time,job_status.vacant,48827
36078,Business Consultant,8531000,"Istanbul, Turkey",job_type.remote_full_time,job_status.vacant,55952
2126,Sales Support Specialist,1193700,"Laredo, USA",job_type.remote_part_time,job_status.vacant,53630
43735,Administrative Assistant,1123000,"Chesapeake, USA",job_type.remote_full_time,job_status.vacant,19056
14210,Interior Designer,5913700,"Anchorage, USA",job_type.remote_full_time,job_status.vacant,13083
73945,Multimedia Artist,1788400,"Kuala Lumpur, Malaysia",job_type.remote_part_time,job_status.vacant,27384
84178,Cybersecurity Analyst,7040800,"Adelaide, Australia",job_type.onsite_full_time,job_status.vacant,33314
98122,Talent Manager,4583300,"Modesto, USA",job_type.onsite_part_time,job_status.vacant,87255
59121,Environmental Scientist,1070400,"Berlin, Germany",job_type.remote_full_time,job_status.vacant,40287
22551,Regulatory Affairs Specialist,8362800,"Nairobi, Kenya",job_type.remote_part_time,job_status.vacant,23704
37624,Occupational Therapist Assistant,5650800,"Brasília, Brazil",job_type.remote_part_time,job_status.vacant,96088
94916,Social Worker,5860500,"Perth, Australia",job_type.onsite_full_time,job_status.vacant,90020
14340,Marketing Assistant,9734800,"Budapest, Hungary",job_type.remote_full_time,job_status.vacant,78607
20082,Medical Assistant,170900,"Venice, Italy",job_type.remote_full_time,job_status.vacant,7912
90113,Customer Success Manager,6075100,"Dallas, USA",job_type.remote_part_time,job_status.vacant,10576
16021,Marketing Communications Manager,3067500,"Charlotte, USA",job_type.remote_full_time,job_status.vacant,66809
61726,IT Security Specialist,7378500,"Chandler, USA",job_type.onsite_full_time,job_status.vacant,17641
59135,Retail Manager,2573300,"Modesto, USA",job_type.onsite_part_time,job_status.vacant,27839
87030,Operations Supervisor,3620000,"Seattle, USA",job_type.remote_part_time,job_status.vacant,94859
79650,Brand Strategist,849900,"Buenos Aires, Argentina",job_type.remote_part_time,job_status.vacant,40287
8980,Marketing Director,9108900,"Madrid, Spain",job_type.remote_full_time,job_status.vacant,36878
50306,Mechanical Engineer,2988600,"Buenos Aires, Argentina",job_type.remote_part_time,job_status.vacant,4361
81332,Architect,757500,"Denver, USA",job_type.remote_part_time,job_status.vacant,65952
43092,Marketing Assistant,2346000,"Savannah, USA",job_type.remote_full_time,job_status.vacant,56583
44305,Research Scientist,3314800,"Beirut, Lebanon",job_type.remote_full_time,job_status.vacant,33340
3545,Logistics Coordinator,817000,"Chesapeake, USA",job_type.remote_full_time,job_status.vacant,78189
95607,Architect,1123300,"Mexico City, Mexico",job_type.remote_full_time,job_status.vacant,56583
77939,Event Planner,3842500,"Laredo, USA",job_type.onsite_full_time,job_status.vacant,92591
7612,Network Security Engineer,307600,"Anaheim, USA",job_type.onsite_full_time,job_status.vacant,61151
64416,Executive Assistant,5757000,"Cleveland, USA",job_type.onsite_part_time,job_status.vacant,40287
22517,Environmental Engineer,4905100,"Auckland, New Zealand",job_type.onsite_full_time,job_status.vacant,51056
3805,Project Coordinator,7971100,"Dublin, Ireland",job_type.remote_part_time,job_status.vacant,91834
72594,Dental Assistant,1776000,"Honolulu, USA",job_type.remote_part_time,job_status.vacant,62748
41448,Compliance Officer,3249100,"Moscow, Russia",job_type.onsite_full_time,job_status.vacant,7912
34874,Social Media Specialist,2191200,"Chesapeake, USA",job_type.onsite_full_time,job_status.vacant,27839
10428,Multimedia Artist,9743300,"Manchester, England",job_type.remote_part_time,job_status.vacant,19056
87810,Business Consultant,8135200,"Paris, France",job_type.remote_full_time,job_status.vacant,49332
64451,Purchasing Manager,4253600,"Xi'an, China",job_type.remote_part_time,job_status.vacant,73496
66638,Operations Manager,9335100,"Vienna, Austria",job_type.remote_full_time,job_status.vacant,13729
83129,Medical Billing Specialist,6943200,"Abuja, Nigeria",job_type.onsite_part_time,job_status.vacant,69486
55515,Operations Manager,8947500,"Dubai, UAE",job_type.onsite_part_time,job_status.vacant,99820
1503,Financial Controller,3087600,"Hong Kong, China",job_type.remote_part_time,job_status.vacant,48827
1272,Account Manager,1687500,"Las Vegas, USA",job_type.remote_part_time,job_status.vacant,50242
91713,Sales Manager,8719500,"Corpus Christi, USA",job_type.onsite_part_time,job_status.vacant,65952
30965,Digital Content Creator,8778300,"Berlin, Germany",job_type.remote_full_time,job_status.vacant,45102
39824,Database Administrator,2879500,"Aurora, USA",job_type.onsite_full_time,job_status.vacant,96236
92369,Market Research Assistant,2195100,"Atlanta, USA",job_type.remote_part_time,job_status.vacant,11153
70434,HR Recruiter,7710500,"Los Angeles, USA",job_type.remote_part_time,job_status.vacant,48947
49372,Financial Planner,9890600,"Manchester, England",job_type.remote_full_time,job_status.vacant,65826
81015,Healthcare Administrator,3894000,"Fresno, USA",job_type.onsite_full_time,job_status.vacant,97781
36458,Research Scientist,1742900,"Guangzhou, China",job_type.remote_part_time,job_status.vacant,33314
51625,Logistics Coordinator,8666800,"Jersey City, USA",job_type.remote_part_time,job_status.vacant,71313
70392,Retail Manager,1879300,"Lexington, USA",job_type.remote_part_time,job_status.vacant,99149
82241,Social Media Coordinator,5615400,"Scottsdale, USA",job_type.remote_part_time,job_status.vacant,53452
46159,Market Research Assistant,5384200,"Krakow, Poland",job_type.onsite_part_time,job_status.vacant,47262
46461,Market Research Analyst,4749400,"San Antonio, USA",job_type.onsite_full_time,job_status.vacant,83427
39983,Financial Analyst,2203000,"Jersey City, USA",job_type.remote_part_time,job_status.vacant,61151
53548,Content Writer,628700,"Munich, Germany",job_type.remote_full_time,job_status.vacant,65826
69427,Software Tester,346300,"Norfolk, USA",job_type.remote_full_time,job_status.vacant,27839
38578,Data Scientist,7366400,"Albuquerque, USA",job_type.remote_full_time,job_status.vacant,38562
39079,Sales Coordinator,1772000,"Chula Vista, USA",job_type.onsite_full_time,job_status.vacant,71313
11960,Business Development Coordinator,172500,"Stockholm, Sweden",job_type.onsite_full_time,job_status.vacant,71313
78355,Financial Clerk,1852400,"Birmingham, USA",job_type.onsite_full_time,job_status.vacant,11922
25310,Health Educator,2599200,"Glendale, USA",job_type.remote_part_time,job_status.vacant,68386
79095,User Interface Designer,1925300,"Tokyo, Japan",job_type.remote_full_time,job_status.vacant,50372
87781,Marketing Assistant,5862100,"Fort Wayne, USA",job_type.remote_part_time,job_status.vacant,19787
20460,Legal Analyst,6041800,"Durham, USA",job_type.remote_full_time,job_status.vacant,92029
36875,Financial Clerk,5878800,"Washington D.C., USA",job_type.remote_part_time,job_status.vacant,75068
95763,Marketing Assistant,5408200,"Paris, France",job_type.remote_part_time,job_status.vacant,92029
38335,Biomedical Engineer,7788300,"Colorado Springs, USA",job_type.remote_part_time,job_status.vacant,78341
95594,Cybersecurity Analyst,4913000,"St. Louis, USA",job_type.onsite_full_time,job_status.vacant,19056
59176,Research Coordinator,6571200,"Anaheim, USA",job_type.onsite_full_time,job_status.vacant,30442
93944,Operations Manager,203700,"Lubbock, USA",job_type.remote_full_time,job_status.vacant,73076
10520,Medical Technologist,2751900,"London, England",job_type.remote_full_time,job_status.vacant,43152
10564,Database Administrator,7107800,"Prague, Czech Republic",job_type.onsite_full_time,job_status.vacant,23595
50802,Data Scientist,8879800,"Paris, France",job_type.onsite_part_time,job_status.vacant,76953
64417,Real Estate Agent,7252100,"Singapore City, Singapore",job_type.remote_part_time,job_status.vacant,49332
8013,Network Security Engineer,267000,"Brussels, Belgium",job_type.remote_full_time,job_status.vacant,3724
24302,Registered Nurse,6032400,"St. Louis, USA",job_type.remote_full_time,job_status.vacant,11153
50136,Physical Therapy Assistant,1779800,"Philadelphia, USA",job_type.remote_part_time,job_status.vacant,26542
74059,Quality Control Inspector,4254500,"Milwaukee, USA",job_type.onsite_full_time,job_status.vacant,45744
49983,Customer Experience Manager,5098000,"Cleveland, USA",job_type.onsite_part_time,job_status.vacant,50372
76581,Human Resources Manager,4492300,"Hialeah, USA",job_type.remote_part_time,job_status.vacant,99820
89592,Purchasing Manager,5099900,"Pittsburgh, USA",job_type.onsite_part_time,job_status.vacant,51383
43652,Graphic Designer,7149000,"London, England",job_type.remote_part_time,job_status.vacant,65906
10563,Accountant,5216500,"Helsinki, Finland",job_type.remote_part_time,job_status.vacant,87183
5957,Content Writer,8049800,"Paris, France",job_type.remote_full_time,job_status.vacant,21541
38932,Data Entry Specialist,1429400,"Marrakech, Morocco",job_type.remote_full_time,job_status.vacant,4960
65268,Product Marketing Manager,6799400,"Lexington, USA",job_type.remote_full_time,job_status.vacant,14519
22048,Occupational Therapist,5620700,"Aurora, USA",job_type.onsite_full_time,job_status.vacant,61151
68556,Dental Assistant,3277400,"Lexington, USA",job_type.remote_part_time,job_status.vacant,14519
8287,Web Developer,2471900,"Tampa, USA",job_type.remote_full_time,job_status.vacant,92591
46068,Product Owner,8598400,"Miami, USA",job_type.remote_part_time,job_status.vacant,29863
48196,Product Owner,8121600,"Charlotte, USA",job_type.onsite_part_time,job_status.vacant,45102
1795,Data Analyst,3988100,"Kuala Lumpur, Malaysia",job_type.remote_full_time,job_status.vacant,86459
35573,Lawyer,5718200,"Toronto, Canada",job_type.onsite_full_time,job_status.vacant,27839
58424,Business Consultant,1106900,"Santiago, Chile",job_type.remote_full_time,job_status.vacant,42492
26312,Market Research Analyst,4713200,"Ho Chi Minh City, Vietnam",job_type.onsite_part_time,job_status.vacant,17641
47260,HR Manager,1055000,"Wichita, USA",job_type.remote_part_time,job_status.vacant,75068
96937,HR Coordinator,8992400,"Indianapolis, USA",job_type.remote_full_time,job_status.vacant,10576
6510,Project Manager,2152300,"Dallas, USA",job_type.onsite_full_time,job_status.vacant,41536
60979,Nurse Practitioner,7967600,"Glendale, USA",job_type.onsite_full_time,job_status.vacant,86480
29210,Research Scientist,499800,"Chandler, USA",job_type.onsite_full_time,job_status.vacant,99274
7959,Content Manager,2639400,"Abuja, Nigeria",job_type.onsite_part_time,job_status.vacant,3724
58914,Production Supervisor,4620400,"Henderson, USA",job_type.onsite_full_time,job_status.vacant,36878
72149,Speech-Language Pathologist,3786200,"Phoenix, USA",job_type.onsite_full_time,job_status.vacant,46361
88384,IT Analyst,3433700,"Pittsburgh, USA",job_type.onsite_part_time,job_status.vacant,40311
62725,Investment Analyst,4778900,"St. Louis, USA",job_type.remote_part_time,job_status.vacant,74121
59292,Product Owner,8967600,"Cape Town, South Africa",job_type.onsite_part_time,job_status.vacant,74091
87765,Speech-Language Pathologist,4423400,"Warsaw, Poland",job_type.remote_full_time,job_status.vacant,53630
76017,Content Writer,2437700,"Newark, USA",job_type.remote_full_time,job_status.vacant,66809
69995,HR Generalist,2151000,"Vancouver, Canada",job_type.onsite_full_time,job_status.vacant,43152
60388,Marketing Manager,8123800,"St. Louis, USA",job_type.remote_part_time,job_status.vacant,47377
50015,Teacher,9476900,"Cape Town, South Africa",job_type.remote_part_time,job_status.vacant,15701
50426,Production Supervisor,3448300,"Santa Ana, USA",job_type.remote_full_time,job_status.vacant,64293
42452,Systems Engineer,1939700,"Kuala Lumpur, Malaysia",job_type.remote_full_time,job_status.vacant,94019
98463,Financial Analyst,3877500,"Atlanta, USA",job_type.onsite_full_time,job_status.vacant,56583
54857,Logistics Manager,9881500,"Krakow, Poland",job_type.onsite_part_time,job_status.vacant,75068
36162,Market Analyst,7756200,"Helsinki, Finland",job_type.onsite_full_time,job_status.vacant,10552
82315,Public Relations Manager,9624500,"Stockholm, Sweden",job_type.onsite_part_time,job_status.vacant,68372
36866,Physical Therapy Assistant,9581300,"Toronto, Canada",job_type.onsite_part_time,job_status.vacant,88826
73445,Medical Billing Specialist,3970100,"Lincoln, USA",job_type.onsite_full_time,job_status.vacant,80204
58245,Digital Marketing Specialist,9304800,"Sydney, Australia",job_type.remote_full_time,job_status.vacant,75068
24848,Tax Preparer,1172200,"Mumbai, India",job_type.onsite_part_time,job_status.vacant,55952
22340,Legal Secretary,5643300,"Atlanta, USA",job_type.onsite_full_time,job_status.vacant,18927
73798,Marketing Communications Manager,7969500,"Spokane, USA",job_type.onsite_full_time,job_status.vacant,50372
73733,Financial Manager,6164800,"Lexington, USA",job_type.remote_full_time,job_status.vacant,21577
60211,HR Assistant,7645500,"Charlotte, USA",job_type.onsite_full_time,job_status.vacant,54580
11153,Digital Marketing Manager,8549700,"Seoul, South Korea",job_type.onsite_full_time,job_status.vacant,33344
9150,Web Developer,8458900,"Houston, USA",job_type.onsite_full_time,job_status.vacant,43152
92155,Regulatory Affairs Specialist,5392400,"Bologna, Italy",job_type.remote_full_time,job_status.vacant,99149
65538,Construction Manager,417600,"Aurora, USA",job_type.remote_full_time,job_status.vacant,42492
39080,Mechanical Technician,903600,"Bangkok, Thailand",job_type.onsite_part_time,job_status.vacant,41113
57289,Medical Assistant,7277300,"Brasília, Brazil",job_type.remote_part_time,job_status.vacant,27611
78428,Research Scientist,4998500,"Chiang Mai, Thailand",job_type.remote_part_time,job_status.vacant,34554
91642,Web Developer,8752000,"Ho Chi Minh City, Vietnam",job_type.onsite_full_time,job_status.vacant,71576
41435,IT Technician,4996200,"San Antonio, USA",job_type.remote_part_time,job_status.vacant,27839
51846,Legal Secretary,6640000,"Istanbul, Turkey",job_type.remote_part_time,job_status.vacant,85932
65681,HR Recruiter,9478800,"Spokane, USA",job_type.remote_full_time,job_status.vacant,34197
30083,Recruiting Coordinator,6851500,"Memphis, USA",job_type.remote_part_time,job_status.vacant,92703
78373,Marketing Assistant,4842300,"Henderson, USA",job_type.onsite_full_time,job_status.vacant,99820
51055,Legal Secretary,4683200,"Barcelona, Spain",job_type.remote_full_time,job_status.vacant,33314
41190,Health Educator,145400,"Kuala Lumpur, Malaysia",job_type.onsite_full_time,job_status.vacant,61310
39491,Insurance Underwriter,487600,"Corpus Christi, USA",job_type.onsite_part_time,job_status.vacant,30849
37570,Social Worker,723500,"Tacoma, USA",job_type.remote_part_time,job_status.vacant,36114
51451,Business Operations Manager,5618400,"Las Vegas, USA",job_type.remote_full_time,job_status.vacant,21577
22648,Technical Writer,7004900,"Reno, USA",job_type.remote_full_time,job_status.vacant,44043
4731,Occupational Health and Safety Specialist,435500,"Stockholm, Sweden",job_type.onsite_part_time,job_status.vacant,78858
28105,Interior Designer,8671000,"Fort Wayne, USA",job_type.onsite_part_time,job_status.vacant,67443
11125,Business Development Executive,2080300,"Oslo, Norway",job_type.remote_part_time,job_status.vacant,68372
46431,Technical Writer,1988300,"Rio de Janeiro, Brazil",job_type.remote_full_time,job_status.vacant,13729
88776,Brand Strategist,442900,"Las Vegas, USA",job_type.onsite_full_time,job_status.vacant,61151
77441,IT Technician,1686900,"Venice, Italy",job_type.remote_full_time,job_status.vacant,33424
70782,Tax Accountant,9827800,"Florence, Italy",job_type.onsite_part_time,job_status.vacant,87183
39274,Retail Manager,8462400,"Winston-Salem, USA",job_type.remote_part_time,job_status.vacant,55952
3193,Financial Analyst,3000200,"Chesapeake, USA",job_type.remote_part_time,job_status.vacant,36732
60090,Financial Risk Analyst,4636700,"Oxnard, USA",job_type.remote_part_time,job_status.vacant,10552
40875,HR Recruiter,875400,"Oklahoma City, USA",job_type.onsite_part_time,job_status.vacant,88826
78824,Administrative Assistant,3638800,"Washington D.C., USA",job_type.onsite_full_time,job_status.vacant,19787
51710,SEO Specialist,7505900,"London, England",job_type.remote_full_time,job_status.vacant,18927
26165,Systems Administrator,8267000,"Budapest, Hungary",job_type.onsite_part_time,job_status.vacant,73568
29923,Market Research Assistant,5139200,"Buenos Aires, Argentina",job_type.onsite_full_time,job_status.vacant,48827
3617,Sales Associate,2646600,"Jaipur, India",job_type.remote_full_time,job_status.vacant,94019
62803,Healthcare Administrator,3408700,"Chandler, USA",job_type.remote_part_time,job_status.vacant,12839
2418,Legal Analyst,6564400,"Mumbai, India",job_type.onsite_part_time,job_status.vacant,44043
68169,IT Security Analyst,7189100,"Fremont, USA",job_type.remote_full_time,job_status.vacant,19787
13748,Environmental Scientist,1074800,"Huntington Beach, USA",job_type.onsite_part_time,job_status.vacant,42492
10079,Event Manager,9050700,"Helsinki, Finland",job_type.onsite_part_time,job_status.vacant,6544
26405,Construction Manager,1597500,"Raleigh, USA",job_type.onsite_full_time,job_status.vacant,72421
87239,Sales Associate,9987900,"Lima, Peru",job_type.remote_full_time,job_status.vacant,68372
62704,Product Manager,9575600,"Riverside, USA",job_type.onsite_part_time,job_status.vacant,26542
23385,Network Analyst,8671100,"Stockton, USA",job_type.remote_part_time,job_status.vacant,69668
22620,HR Specialist,6087900,"Chula Vista, USA",job_type.remote_part_time,job_status.vacant,62748
51678,Market Analyst,365400,"Tulsa, USA",job_type.remote_part_time,job_status.vacant,82991
7697,Interior Decorator,4481400,"Baltimore, USA",job_type.remote_part_time,job_status.vacant,96236
64607,Content Manager,4422900,"Abu Dhabi, UAE",job_type.remote_part_time,job_status.vacant,73122
47172,Architect,3842500,"Irvine, USA",job_type.onsite_part_time,job_status.vacant,10552
58143,Occupational Health and Safety Specialist,1156600,"Henderson, USA",job_type.remote_full_time,job_status.vacant,26800
86807,Dental Assistant,2424600,"Spokane, USA",job_type.remote_full_time,job_status.vacant,2325
63014,Sales Support Specialist,5478700,"Raleigh, USA",job_type.onsite_full_time,job_status.vacant,99820
43461,Customer Service Representative,4328600,"Columbus, USA",job_type.onsite_part_time,job_status.vacant,51056
44043,Network Analyst,3346400,"Irvine, USA",job_type.onsite_full_time,job_status.vacant,17641
89624,Business Development Manager,7370800,"Los Angeles, USA",job_type.onsite_part_time,job_status.vacant,33344
66992,Technical Support Specialist,3367500,"Hialeah, USA",job_type.remote_part_time,job_status.vacant,94859
94556,Event Planner,5347800,"Kuala Lumpur, Malaysia",job_type.onsite_full_time,job_status.vacant,70357
26030,Insurance Broker,5461300,"Baltimore, USA",job_type.remote_part_time,job_status.vacant,70357
97872,Business Development Executive,2091800,"Dublin, Ireland",job_type.onsite_full_time,job_status.vacant,81035
83365,Operations Manager,1997200,"Santiago, Chile",job_type.remote_part_time,job_status.vacant,19056
8309,Financial Advisor,3065300,"Cleveland, USA",job_type.onsite_part_time,job_status.vacant,41113
3003,Civil Engineer,3794700,"New York City, USA",job_type.onsite_part_time,job_status.vacant,89144
50055,Operations Manager,3241800,"Seattle, USA",job_type.remote_full_time,job_status.vacant,38390
69711,Market Analyst,3775100,"Baltimore, USA",job_type.remote_full_time,job_status.vacant,45744
44582,Research Coordinator,8432300,"Los Angeles, USA",job_type.onsite_full_time,job_status.vacant,11922
97893,User Experience Researcher,202800,"Chesapeake, USA",job_type.remote_part_time,job_status.vacant,33956
82739,Talent Acquisition Specialist,6441500,"Spokane, USA",job_type.remote_part_time,job_status.vacant,36732
16897,Research Coordinator,187300,"Riverside, USA",job_type.onsite_part_time,job_status.vacant,87183
51855,Research Assistant,4376000,"Nairobi, Kenya",job_type.onsite_part_time,job_status.vacant,30273
39301,Network Engineer,7216100,"Dublin, Ireland",job_type.onsite_full_time,job_status.vacant,72421
13914,Quality Control Inspector,6255600,"Marrakech, Morocco",job_type.remote_part_time,job_status.vacant,33424
62707,Environmental Engineer,4654900,"Tel Aviv, Israel",job_type.onsite_part_time,job_status.vacant,30442
44672,Sales Manager,8556400,"Moreno Valley, USA",job_type.onsite_part_time,job_status.vacant,39178
63866,HR Manager,4670300,"Paris, France",job_type.onsite_part_time,job_status.vacant,48947
7685,Quality Assurance Engineer,9005800,"Norfolk, USA",job_type.onsite_part_time,job_status.vacant,96422
98684,Data Entry Specialist,7580700,"Huntington Beach, USA",job_type.onsite_part_time,job_status.vacant,61508
27671,IT Security Analyst,2895400,"Zurich, Switzerland",job_type.remote_full_time,job_status.vacant,72421
2820,Financial Clerk,4082100,"Beirut, Lebanon",job_type.remote_full_time,job_status.vacant,23595
30883,Nurse Manager,8519100,"Baton Rouge, USA",job_type.remote_part_time,job_status.vacant,90935
76214,Medical Technologist,2568700,"Detroit, USA",job_type.remote_part_time,job_status.vacant,47377
13148,Talent Acquisition Specialist,117400,"Nairobi, Kenya",job_type.remote_full_time,job_status.vacant,698
3228,Dental Assistant,7006600,"Seoul, South Korea",job_type.onsite_full_time,job_status.vacant,39786
29628,Digital Marketing Specialist,8551800,"Oakland, USA",job_type.onsite_full_time,job_status.vacant,27839
28429,Marketing Coordinator,7932800,"Tokyo, Japan",job_type.onsite_full_time,job_status.vacant,33314
90375,Operations Analyst,6314000,"Nice, France",job_type.remote_part_time,job_status.vacant,50372
474,UI/UX Developer,1801400,"Abuja, Nigeria",job_type.remote_part_time,job_status.vacant,39178
72277,User Experience Researcher,260300,"Detroit, USA",job_type.onsite_full_time,job_status.vacant,3117
78983,Database Administrator,5808200,"Cincinnati, USA",job_type.remote_full_time,job_status.vacant,35871
80519,Brand Strategist,4174100,"Milwaukee, USA",job_type.remote_part_time,job_status.vacant,24485
67649,Network Analyst,3644200,"Mexico City, Mexico",job_type.remote_part_time,job_status.vacant,73496
17936,Marketing Analyst,5934900,"Kyoto, Japan",job_type.onsite_part_time,job_status.vacant,67443
14531,Medical Assistant,1054600,"Lisbon, Portugal",job_type.remote_part_time,job_status.vacant,76953
49612,Inventory Manager,4739500,"Toronto, Canada",job_type.remote_part_time,job_status.vacant,96422
49195,Insurance Broker,1529300,"Ho Chi Minh City, Vietnam",job_type.remote_full_time,job_status.vacant,74627
9891,Quality Assurance Engineer,6480500,"Oxnard, USA",job_type.onsite_part_time,job_status.vacant,10576
18765,Investment Banker,4423600,"Philadelphia, USA",job_type.onsite_part_time,job_status.vacant,38802
30614,Environmental Scientist,7550200,"Mexico City, Mexico",job_type.remote_part_time,job_status.vacant,85932
6262,HR Coordinator,5955500,"Salzburg, Austria",job_type.onsite_part_time,job_status.vacant,41536
36215,Network Administrator,5373900,"North Las Vegas, USA",job_type.remote_part_time,job_status.vacant,24444
91,Supply Chain Coordinator,7624600,"Vancouver, Canada",job_type.remote_part_time,job_status.vacant,40616
16081,IT Project Manager,9861800,"Buffalo, USA",job_type.onsite_part_time,job_status.vacant,61786
29884,IT Security Specialist,7634700,"Anchorage, USA",job_type.onsite_part_time,job_status.vacant,6544
47722,Quality Control Inspector,6986900,"Raleigh, USA",job_type.remote_full_time,job_status.vacant,18927
89332,Insurance Claims Adjuster,294500,"San Francisco, USA",job_type.onsite_part_time,job_status.vacant,21466
48721,Research Scientist,688500,"Richmond, USA",job_type.remote_full_time,job_status.vacant,53630
97386,Account Coordinator,8282700,"Boston, USA",job_type.remote_part_time,job_status.vacant,10576
47066,Retail Manager,1515900,"Nice, France",job_type.remote_part_time,job_status.vacant,89144
46099,Medical Technologist,1808600,"Bologna, Italy",job_type.remote_full_time,job_status.vacant,19787
8862,Public Relations Coordinator,2276700,"Adelaide, Australia",job_type.onsite_part_time,job_status.vacant,67360
71870,Business Development Manager,5721800,"Budapest, Hungary",job_type.onsite_full_time,job_status.vacant,74121
5949,Teacher,3856700,"Lincoln, USA",job_type.onsite_full_time,job_status.vacant,46487
