Organization,Degree,Specialisation,Year
Indian Institute of Science (IISc),B.A,English,1992
Loyola College,B.Pharm,Medicine,1980
Indian Institute of Management (Lucknow),B.Tech,Manu,2007
National Institute of Technology (Trichy),B.A,English,1982
Indian Institute of Management (Lucknow),M.Tech,Comp Sci,1993
Miranda House,B.Tech,Manu,2016
Indian Statistical Institute (ISI),BE,Manu,2016
Manipal Academy of Higher Education,BE,Electrical,2004
Indian Institute of Foreign Trade (IIFT),B.Pharm,Medicine,2022
National Institute of Fashion Technology (NIFT),M.Tech,Comp Sci,2017
Symbiosis International University,B.Tech,Electrical,2022
National Law University (NLU),Ph.D,Psychology,1988
Indian Institute of Technology (Banaras Hindu University),M.Tech,Mechanical,1981
Indian Institute of Management (Kozhikode),B.Tech,Mechanical,2015
Indian Institute of Technology (Kanpur),B.A,English,1999
Indian Institute of Science Education and Research (IISER),Ph.D,History,2006
National Institute of Fashion Technology (NIFT),B.Tech,Mechanical,2017
Loyola College,B.Tech,Manu,2003
National Institute of Fashion Technology (NIFT),M.Tech,Electrical,1988
Tata Institute of Social Sciences (TISS),B.Pharm,Medicine,2005
Indian Institute of Technology (Roorkee),BE,Electrical,2022
Loyola College,M.Tech,Civil,1986
Indian Institute of Technology (Bhubaneswar),Ph.D,Psychology,2009
National Institute of Fashion Technology (NIFT),BE,Comp Sci,2001
Indian Statistical Institute (ISI),M.Tech,Comp Sci,1997
National Institute of Fashion Technology (NIFT),B.Pharm,Medicine,1983
Birla Institute of Technology and Science (BITS Pilani),Ph.D,Mechanical,2021
St. Stephen's College,B.Tech,Civil,1994
Indian Institutes of Technology (IITs),B.Tech,Civil,2011
Indian Institute of Foreign Trade (IIFT),B.Pharm,Medicine,1985
Hansraj College,B.Pharm,Medicine,2003
Indian Institute of Science Education and Research (IISER),M.Tech,Manu,2004
Indian Institute of Management (Lucknow),Ph.D,Psychology,2011
Indian Institute of Technology (Bombay),Ph.D,Sociology,2003
Xavier Labour Relations Institute (XLRI),B.Tech,Comp Sci,1999
All India Institute of Medical Sciences (AIIMS),BE,Civil,2012
National Law School of India University (NLSIU),B.Tech,Civil,1987
Symbiosis International University,BE,Civil,2009
Indian Institute of Management (Kolkata),M.Tech,Civil,2002
National Law University (NLU),M.Tech,Civil,1989
Indian Institute of Management (Ahmedabad),Ph.D,Medicine,1998
Indian Institute of Foreign Trade (IIFT),M.Tech,Electrical,2004
National Institute of Technology (NITs),B.Tech,Comp Sci,2021
Aligarh Muslim University (AMU),B.A,English,2008
Indian School of Business (ISB),M.Tech,Manu,1982
Delhi Technological University (DTU),B.A,History,2012
Indian Statistical Institute (ISI),M.Tech,Electrical,2017
Birla Institute of Technology and Science (BITS Pilani),Ph.D,Electrical,2002
Indian Institute of Technology (Delhi),B.A,English,2000
Indian School of Business (ISB),B.Pharm,Medicine,2013
Indian Institute of Management (Ahmedabad),B.A,Psychology,2008
Jawaharlal Nehru University (JNU),B.A,Sociology,1993
Indian Institute of Technology (Delhi),B.A,English,2018
Indian Institute of Technology (Banaras Hindu University),B.A,Psychology,2001
Banaras Hindu University (BHU),Ph.D,Civil,1981
Indian Institute of Science (IISc),B.A,Psychology,1989
Jawaharlal Nehru University (JNU),B.Pharm,Medicine,2011
National Institute of Technology (NITs),M.Tech,Electrical,1987
Loyola College,B.Tech,Manu,2021
Indian Statistical Institute (ISI),B.A,English,2018
Manipal Academy of Higher Education,Ph.D,Comp Sci,2009
St. Stephen's College,B.Pharm,Medicine,1999
Jawaharlal Nehru University (JNU),Ph.D,Electrical,2006
Indian Institute of Science (IISc),BE,Manu,2003
Xavier Labour Relations Institute (XLRI),B.Pharm,Medicine,1988
All India Institute of Medical Sciences (AIIMS),M.Tech,Electrical,2018
Indian Statistical Institute (ISI),B.Tech,Mechanical,2019
Manipal Academy of Higher Education,B.A,Sociology,1987
All India Institute of Medical Sciences (AIIMS),Ph.D,Manu,2007
Indian Institute of Management (Indore),B.Tech,Manu,2005
Indian Institute of Technology (Bhubaneswar),M.Tech,Civil,1998
Manipal Academy of Higher Education,M.Tech,Mechanical,2020
Lady Shri Ram College for Women (LSR),BE,Mechanical,2018
National Institute of Technology (Surathkal),B.Tech,Mechanical,2019
Indian Statistical Institute (ISI),B.A,History,1999
National Institute of Technology (Warangal),BE,Civil,2015
Indian Institute of Technology (Delhi),BE,Mechanical,2005
National Institute of Technology (NITs),B.A,Sociology,1993
National Institute of Technology (Jaipur),B.Pharm,Medicine,1999
Banaras Hindu University (BHU),BE,Comp Sci,2002
Delhi Technological University (DTU),B.Pharm,Medicine,1989
Loyola College,Ph.D,English,2019
Indian Institute of Technology (Roorkee),M.Tech,Manu,1982
Indian Institute of Technology (Roorkee),Ph.D,Comp Sci,1994
National Law University (NLU),M.Tech,Mechanical,1983
St. Stephen's College,B.Pharm,Medicine,2005
National Institute of Technology (Trichy),B.Pharm,Medicine,2009
Indian Institute of Technology (Madras),B.Pharm,Medicine,2017
Indian Institute of Technology (Kanpur),M.Tech,Electrical,1995
Jawaharlal Nehru University (JNU),BE,Manu,2006
Indian Institutes of Technology (IITs),BE,Mechanical,1987
Presidency University,BE,Civil,2005
Indian Institutes of Technology (IITs),Ph.D,Comp Sci,2017
Indian Institute of Management (Kolkata),B.A,English,1982
Loyola College,B.A,History,1994
Indian Institute of Management (Ahmedabad),Ph.D,Electrical,2011
Loyola College,B.A,History,2013
Indian Institute of Management (Ahmedabad),B.A,History,1992
Indian Institute of Technology (Bombay),Ph.D,Electrical,1982
Indian Institute of Technology (Bhubaneswar),B.Pharm,Medicine,1995
National Law School of India University (NLSIU),B.Tech,Electrical,1983
Tata Institute of Social Sciences (TISS),B.Tech,Electrical,1998
Indian Institute of Management (Kozhikode),Ph.D,Electrical,1992
National Institute of Fashion Technology (NIFT),M.Tech,Mechanical,1995
Indian Institute of Technology (Banaras Hindu University),BE,Manu,1991
Indian Institute of Technology (Delhi),Ph.D,Mechanical,1996
National Institute of Technology (Jaipur),BE,Electrical,2012
Indian Institutes of Technology (IITs),BE,Manu,1989
National Law University (NLU),B.Tech,Mechanical,1988
Christ University,B.Pharm,Medicine,2006
Symbiosis International University,B.Tech,Electrical,2008
National Institute of Technology (Calicut),B.A,Sociology,1994
Indian Institute of Technology (Bhubaneswar),B.Pharm,Medicine,2013
St. Stephen's College,BE,Civil,2016
Lady Shri Ram College for Women (LSR),Ph.D,Sociology,1985
Indian Institute of Foreign Trade (IIFT),M.Tech,Civil,2012
Indian Institute of Technology (Guwahati),BE,Comp Sci,2013
Indian Institute of Foreign Trade (IIFT),BE,Electrical,1985
Indian Institute of Management (Lucknow),Ph.D,Medicine,1991
Banaras Hindu University (BHU),M.Tech,Electrical,1983
Symbiosis International University,B.Tech,Manu,1987
National Institute of Fashion Technology (NIFT),Ph.D,Sociology,2011
Indian Institute of Management (Ahmedabad),M.Tech,Mechanical,1988
Indian Institute of Management (Kozhikode),M.Tech,Civil,2020
Indian School of Business (ISB),M.Tech,Electrical,1998
National Institute of Technology (Warangal),BE,Comp Sci,2003
Indian Statistical Institute (ISI),BE,Mechanical,2006
Indian School of Business (ISB),B.Tech,Civil,2007
National Institute of Technology (Trichy),B.A,Sociology,2022
National Institute of Technology (Calicut),B.Pharm,Medicine,1985
Indian Institute of Science (IISc),B.A,Psychology,2013
Indian Institute of Management (Indore),B.Tech,Electrical,1995
National Law University (NLU),B.Tech,Mechanical,2014
Miranda House,B.Pharm,Medicine,1993
Presidency University,M.Tech,Comp Sci,1987
National Institute of Fashion Technology (NIFT),BE,Civil,1980
Indian School of Business (ISB),B.A,English,1980
Christ University,B.Tech,Mechanical,2007
National Institute of Fashion Technology (NIFT),B.A,History,2010
All India Institute of Medical Sciences (AIIMS),B.Tech,Electrical,2009
Aligarh Muslim University (AMU),Ph.D,Manu,2021
Indian Institutes of Management (IIMs),B.Pharm,Medicine,1999
Indian School of Business (ISB),B.A,Sociology,2016
Indian Institute of Science (IISc),BE,Comp Sci,2005
Indian Institute of Technology (Bombay),B.A,History,2000
National Institute of Fashion Technology (NIFT),B.Tech,Electrical,2014
Christ University,B.A,History,2017
Xavier Labour Relations Institute (XLRI),B.A,Psychology,1993
Delhi Technological University (DTU),B.Tech,Electrical,1989
National Institute of Fashion Technology (NIFT),B.A,Psychology,1998
Indian Institutes of Technology (IITs),B.A,Sociology,1981
National Institute of Technology (Warangal),M.Tech,Electrical,2008
Indian Institute of Technology (Kanpur),B.Tech,Manu,2002
Loyola College,M.Tech,Mechanical,2016
Indian School of Business (ISB),M.Tech,Civil,2009
Miranda House,BE,Mechanical,2021
Indian Institute of Technology (Banaras Hindu University),B.A,History,1998
Lady Shri Ram College for Women (LSR),B.A,Psychology,1994
Indian Institute of Technology (Banaras Hindu University),M.Tech,Comp Sci,1987
Birla Institute of Technology and Science (BITS Pilani),Ph.D,Civil,1992
Indian Institute of Technology (Madras),BE,Manu,2003
Indian Institute of Technology (Roorkee),BE,Mechanical,2013
National Institute of Technology (Trichy),B.Pharm,Medicine,2007
Indian Statistical Institute (ISI),Ph.D,Sociology,2001
Indian Institute of Science (IISc),BE,Manu,1999
Indian Institute of Technology (Guwahati),B.Tech,Electrical,2019
National Institute of Technology (NITs),B.A,Psychology,2010
National Institute of Fashion Technology (NIFT),Ph.D,Medicine,2022
Indian Institute of Science (IISc),B.A,Sociology,1999
Indian Institutes of Technology (IITs),M.Tech,Manu,2019
Indian Institute of Management (Lucknow),BE,Comp Sci,1988
St. Stephen's College,BE,Manu,2009
Indian Institute of Technology (Banaras Hindu University),BE,Mechanical,2015
Indian Institute of Technology (Guwahati),Ph.D,Sociology,2001
Manipal Academy of Higher Education,B.A,Psychology,1990
Indian Institute of Management (Ahmedabad),M.Tech,Electrical,2001
National Institute of Technology (Trichy),Ph.D,Comp Sci,2008
Christ University,BE,Civil,1992
Indian Institute of Science Education and Research (IISER),M.Tech,Comp Sci,2006
National Institute of Technology (Trichy),Ph.D,Sociology,2019
Presidency University,M.Tech,Manu,1984
Indian Institute of Technology (Kanpur),B.A,Sociology,2015
Jawaharlal Nehru University (JNU),B.Tech,Civil,1986
Symbiosis International University,B.Pharm,Medicine,1992
Indian Institute of Management (Indore),M.Tech,Mechanical,2003
Indian Institute of Technology (Delhi),BE,Electrical,1987
Indian Institute of Technology (Roorkee),Ph.D,English,1981
Indian Statistical Institute (ISI),B.A,History,2013
Indian Statistical Institute (ISI),B.A,Sociology,2015
Indian Institute of Technology (Guwahati),B.Pharm,Medicine,2017
St. Stephen's College,M.Tech,Civil,1988
Aligarh Muslim University (AMU),Ph.D,Comp Sci,1987
Indian School of Business (ISB),Ph.D,English,2020
Indian Statistical Institute (ISI),Ph.D,Civil,2013
Birla Institute of Technology and Science (BITS Pilani),B.Tech,Electrical,2022
Hansraj College,Ph.D,Medicine,1986
National Institute of Design (NID),B.Pharm,Medicine,2015
Loyola College,BE,Electrical,2007
Tata Institute of Social Sciences (TISS),B.A,English,2013
Indian Institutes of Management (IIMs),B.A,English,1990
National Law University (NLU),B.Pharm,Medicine,2018
Indian Institutes of Technology (IITs),Ph.D,History,2000
Indian Institutes of Technology (IITs),B.Pharm,Medicine,1983
Indian Statistical Institute (ISI),B.A,Sociology,2021
Xavier Labour Relations Institute (XLRI),B.A,English,1995
National Institute of Technology (NITs),Ph.D,Sociology,1986
National Institute of Technology (NITs),B.Pharm,Medicine,2002
National Law University (NLU),BE,Electrical,1997
Indian Institute of Management (Kolkata),B.Tech,Manu,1988
Indian School of Business (ISB),BE,Mechanical,1980
National Institute of Technology (Calicut),B.Pharm,Medicine,1998
National Institute of Design (NID),M.Tech,Comp Sci,1996
Hansraj College,B.A,Psychology,1987
Manipal Academy of Higher Education,B.Tech,Manu,1991
Indian Institute of Management (Lucknow),B.Tech,Electrical,2011
Indian Institute of Science (IISc),B.Tech,Mechanical,2003
National Institute of Design (NID),B.Pharm,Medicine,1998
Indian School of Business (ISB),Ph.D,English,1999
Hansraj College,BE,Comp Sci,2012
National Institute of Technology (NITs),B.Pharm,Medicine,1989
Indian Institute of Management (Indore),Ph.D,Civil,2016
Indian Institute of Technology (Bhubaneswar),Ph.D,Electrical,1990
Symbiosis International University,M.Tech,Manu,2011
Indian Institute of Management (Kozhikode),B.Pharm,Medicine,2022
St. Stephen's College,BE,Civil,1985
Indian Institutes of Technology (IITs),M.Tech,Manu,2011
Indian Institute of Management (Kolkata),Ph.D,Civil,1981
Indian Institutes of Management (IIMs),B.Pharm,Medicine,1982
Aligarh Muslim University (AMU),Ph.D,Psychology,2020
Aligarh Muslim University (AMU),BE,Manu,1981
Indian Institute of Management (Ahmedabad),Ph.D,Manu,2013
Indian Statistical Institute (ISI),M.Tech,Civil,2006
National Institute of Fashion Technology (NIFT),M.Tech,Electrical,1988
Indian Institute of Management (Indore),B.Tech,Comp Sci,2019
Xavier Labour Relations Institute (XLRI),B.Pharm,Medicine,1991
Indian Institute of Technology (Roorkee),B.Tech,Mechanical,1993
Indian Institute of Technology (Madras),B.Tech,Electrical,2005
All India Institute of Medical Sciences (AIIMS),B.Pharm,Medicine,1992
Indian Institute of Technology (Bhubaneswar),M.Tech,Manu,2000
National Law School of India University (NLSIU),B.Tech,Comp Sci,2006
Delhi Technological University (DTU),M.Tech,Civil,2010
Manipal Academy of Higher Education,B.Tech,Electrical,2013
Indian Institute of Management (Lucknow),B.Pharm,Medicine,2007
Indian Institute of Science Education and Research (IISER),M.Tech,Electrical,2020
Miranda House,Ph.D,Medicine,1987
Indian Institute of Technology (Madras),M.Tech,Mechanical,1984
Jawaharlal Nehru University (JNU),M.Tech,Electrical,2001
National Institute of Fashion Technology (NIFT),B.Tech,Manu,2007
Indian Statistical Institute (ISI),Ph.D,History,2012
Aligarh Muslim University (AMU),BE,Comp Sci,2000
Indian Institute of Foreign Trade (IIFT),B.Pharm,Medicine,2012
Jawaharlal Nehru University (JNU),BE,Comp Sci,2016
Indian Institute of Technology (Madras),B.Pharm,Medicine,2003
Indian Institute of Technology (Bhubaneswar),Ph.D,Manu,1999
Indian Institutes of Management (IIMs),B.A,English,2015
Symbiosis International University,B.Tech,Manu,1991
National Law School of India University (NLSIU),B.A,English,1986
Indian Institute of Management (Indore),M.Tech,Civil,1988
Indian School of Business (ISB),BE,Electrical,1990
Presidency University,B.Tech,Mechanical,1993
Hansraj College,M.Tech,Comp Sci,1992
Indian Statistical Institute (ISI),M.Tech,Civil,2016
National Institute of Technology (Surathkal),B.Pharm,Medicine,1986
All India Institute of Medical Sciences (AIIMS),B.Pharm,Medicine,2014
Indian Institute of Management (Lucknow),BE,Electrical,2006
Indian School of Business (ISB),B.A,English,1989
Christ University,B.Tech,Comp Sci,1987
National Institute of Technology (Warangal),B.Pharm,Medicine,2008
Indian Institute of Technology (Banaras Hindu University),B.Pharm,Medicine,1982
National Institute of Technology (Jaipur),Ph.D,Civil,1984
Loyola College,BE,Electrical,1996
Lady Shri Ram College for Women (LSR),B.A,Sociology,2003
Christ University,B.A,Sociology,1986
Hansraj College,BE,Manu,2021
Indian Institute of Technology (Delhi),B.Pharm,Medicine,1994
Indian Institute of Technology (Bombay),B.A,Sociology,2005
Christ University,B.Pharm,Medicine,2017
National Law University (NLU),BE,Mechanical,1992
National Institute of Technology (Trichy),M.Tech,Civil,2016
Indian Institute of Technology (Banaras Hindu University),B.A,Sociology,2011
Indian Institute of Management (Lucknow),M.Tech,Mechanical,1992
Indian Institute of Technology (Madras),B.A,History,1994
National Institute of Design (NID),M.Tech,Civil,1998
National Institute of Technology (Trichy),BE,Manu,1993
Indian Statistical Institute (ISI),B.Pharm,Medicine,2019
Indian Statistical Institute (ISI),BE,Electrical,1993
Presidency University,M.Tech,Civil,1996
National Institute of Fashion Technology (NIFT),B.Tech,Civil,2019
Loyola College,M.Tech,Comp Sci,1983
Indian Institute of Technology (Delhi),M.Tech,Civil,1999
Manipal Academy of Higher Education,M.Tech,Comp Sci,2022
National Institute of Technology (Trichy),Ph.D,Mechanical,1997
Indian Institute of Technology (Guwahati),Ph.D,Medicine,2002
National Institute of Technology (Surathkal),B.Tech,Comp Sci,1985
Jawaharlal Nehru University (JNU),M.Tech,Mechanical,1994
National Law School of India University (NLSIU),B.Pharm,Medicine,2021
Indian Institute of Management (Ahmedabad),B.Pharm,Medicine,2013
Loyola College,M.Tech,Comp Sci,2020
Indian Institute of Technology (Bhubaneswar),B.A,English,2021
Indian Institute of Management (Indore),B.Tech,Comp Sci,1999
Indian Institute of Technology (Bombay),B.Tech,Civil,2009
Indian Institute of Technology (Banaras Hindu University),B.Tech,Electrical,1997
All India Institute of Medical Sciences (AIIMS),Ph.D,Manu,1995
Indian Institute of Technology (Bhubaneswar),M.Tech,Comp Sci,2013
National Institute of Technology (Calicut),BE,Manu,2000
Indian Statistical Institute (ISI),BE,Manu,2010
Tata Institute of Social Sciences (TISS),BE,Manu,2008
Delhi Technological University (DTU),B.Tech,Comp Sci,1993
Indian Institute of Technology (Kanpur),Ph.D,Sociology,1989
Indian Institutes of Technology (IITs),B.A,English,2002
Aligarh Muslim University (AMU),B.A,English,1991
All India Institute of Medical Sciences (AIIMS),BE,Civil,1984
Hansraj College,B.Tech,Comp Sci,1998
Indian Institute of Technology (Bhubaneswar),B.Pharm,Medicine,2019
Indian Institute of Foreign Trade (IIFT),B.Pharm,Medicine,1981
Loyola College,B.Tech,Mechanical,2009
Banaras Hindu University (BHU),BE,Mechanical,2018
Indian Institute of Technology (Delhi),M.Tech,Comp Sci,1983
Lady Shri Ram College for Women (LSR),BE,Comp Sci,1998
Jawaharlal Nehru University (JNU),BE,Comp Sci,2017
Indian Institute of Management (Ahmedabad),BE,Manu,2008
Indian Institute of Technology (Bombay),B.Tech,Civil,2008
National Law School of India University (NLSIU),M.Tech,Mechanical,2020
Manipal Academy of Higher Education,B.A,History,2021
Indian Institute of Technology (Guwahati),Ph.D,Sociology,2004
National Institute of Technology (Calicut),B.Pharm,Medicine,1992
Presidency University,Ph.D,Electrical,2001
Indian Institute of Management (Lucknow),Ph.D,Sociology,2002
St. Stephen's College,M.Tech,Civil,2001
Indian Statistical Institute (ISI),M.Tech,Mechanical,2000
Manipal Academy of Higher Education,BE,Manu,2018
Indian Institute of Science Education and Research (IISER),B.A,History,1992
National Law School of India University (NLSIU),B.Tech,Comp Sci,2010
National Institute of Fashion Technology (NIFT),M.Tech,Civil,2022
Indian Statistical Institute (ISI),BE,Comp Sci,2021
Hansraj College,B.Tech,Electrical,2019
Indian Institute of Technology (Guwahati),B.A,Sociology,1986
Indian Institute of Management (Indore),M.Tech,Civil,2002
Delhi Technological University (DTU),B.A,Sociology,2006
Indian Institute of Technology (Banaras Hindu University),M.Tech,Comp Sci,1997
Indian School of Business (ISB),B.Tech,Comp Sci,2017
Indian Institute of Technology (Bhubaneswar),B.A,History,1984
Indian School of Business (ISB),B.A,English,2006
Indian Institute of Technology (Bombay),B.Pharm,Medicine,2005
Indian School of Business (ISB),B.Tech,Mechanical,2010
Indian Institute of Management (Kolkata),M.Tech,Comp Sci,2018
Jawaharlal Nehru University (JNU),B.Pharm,Medicine,2005
Christ University,M.Tech,Civil,2014
National Institute of Technology (Surathkal),B.A,English,2006
National Institute of Technology (Calicut),B.Pharm,Medicine,2022
Xavier Labour Relations Institute (XLRI),M.Tech,Civil,2017
National Law School of India University (NLSIU),B.Tech,Manu,1992
Christ University,M.Tech,Civil,1983
Indian Institute of Technology (Bhubaneswar),B.Tech,Comp Sci,1991
Indian Institute of Science Education and Research (IISER),B.A,Sociology,2004
National Institute of Technology (Surathkal),BE,Electrical,2014
National Institute of Fashion Technology (NIFT),M.Tech,Comp Sci,1981
Xavier Labour Relations Institute (XLRI),B.A,English,1981
Indian Institute of Technology (Guwahati),B.A,English,1983
National Institute of Technology (NITs),M.Tech,Civil,1996
Indian Institute of Management (Kozhikode),Ph.D,English,2011
National Institute of Technology (Trichy),M.Tech,Manu,1996
National Institute of Technology (NITs),B.Pharm,Medicine,1996
Indian Institute of Science Education and Research (IISER),BE,Electrical,1982
All India Institute of Medical Sciences (AIIMS),Ph.D,Mechanical,2017
Indian Institute of Technology (Roorkee),BE,Manu,2020
National Institute of Technology (Calicut),BE,Electrical,2000
Indian Institutes of Management (IIMs),Ph.D,Electrical,1991
Indian School of Business (ISB),BE,Electrical,1998
Christ University,BE,Comp Sci,1991
Miranda House,B.Pharm,Medicine,1986
Indian Institute of Management (Kozhikode),BE,Manu,2013
Indian Institute of Technology (Madras),B.A,Psychology,1980
Aligarh Muslim University (AMU),B.A,Sociology,2021
Xavier Labour Relations Institute (XLRI),BE,Mechanical,2003
Presidency University,B.Tech,Manu,2007
National Institute of Technology (Calicut),Ph.D,History,2014
Indian Institutes of Management (IIMs),Ph.D,Sociology,1983
National Institute of Technology (Jaipur),B.A,Psychology,2009
Jawaharlal Nehru University (JNU),B.Pharm,Medicine,2019
Birla Institute of Technology and Science (BITS Pilani),B.A,Psychology,1997
Indian School of Business (ISB),B.A,Sociology,2011
Indian Institute of Technology (Banaras Hindu University),BE,Civil,1984
All India Institute of Medical Sciences (AIIMS),B.Pharm,Medicine,2009
Indian Institute of Technology (Guwahati),B.Pharm,Medicine,1984
Indian Statistical Institute (ISI),Ph.D,Mechanical,1993
Indian Statistical Institute (ISI),Ph.D,Psychology,2006
Lady Shri Ram College for Women (LSR),M.Tech,Manu,2002
National Institute of Technology (Trichy),B.Tech,Manu,1989
Delhi Technological University (DTU),B.Tech,Electrical,1998
National Institute of Technology (Warangal),B.Pharm,Medicine,2013
Indian Institute of Technology (Roorkee),B.Pharm,Medicine,2017
Manipal Academy of Higher Education,BE,Civil,1994
Indian Institute of Technology (Bhubaneswar),Ph.D,Sociology,1999
All India Institute of Medical Sciences (AIIMS),M.Tech,Comp Sci,2015
Indian Institute of Technology (Roorkee),B.A,Psychology,1997
Banaras Hindu University (BHU),B.Tech,Mechanical,2012
Indian Institute of Technology (Banaras Hindu University),B.Tech,Manu,2009
Christ University,B.A,Psychology,1995
Indian Statistical Institute (ISI),Ph.D,Medicine,2015
Indian Statistical Institute (ISI),B.Pharm,Medicine,2002
All India Institute of Medical Sciences (AIIMS),BE,Mechanical,1999
Indian Institute of Technology (Bombay),Ph.D,History,2015
Indian Institute of Management (Lucknow),B.A,History,2019
Indian Institute of Management (Kozhikode),Ph.D,Comp Sci,2002
Indian Institute of Foreign Trade (IIFT),B.A,History,2018
Indian Institute of Management (Indore),B.Pharm,Medicine,2012
